,Cell Count,Cell Area $\mu m^2$,Net Area $\mu m^2$,Total Area $\mu m^2$,Flop Count,Power mW
TCn4_4m20b8c,5689,6574.302,3079.781,9654.083,325,7.39641
TCk9_25m20b,21772,26054.784,10682.975,36737.759,1005,23.5395
TCk9_5m20b-2,13407,20903.904,7604.364,28508.268,505,22.1123
TCk9_5m20b,14568,22141.728,8057.445,30199.173,1005,14.2006
TCk9_5m20b-3,13387,20748.924,7646.703,28395.627,505,22.3155
IFk9_6m20b,10848,14624.694,5976.791,20601.485,725,11.0688
IFn9_6m20b,9625,11919.726,5200.809,17120.535,725,9.67653
TCn4_4m20b,5460,6455.736,2923.075,9378.811,324,6.93268
nv-9-9m20b,7424,7717.752,3735.860,11453.612,193,6.54293
TCn4_2m20b,2797,3867.696,1420.029,5287.725,326,2.45325
TCn4_1m20b,5390,6447.798,2901.485,9349.283,324,6.19178
