Project,instance,module,cell_count,cell_area_um2,net_area_um2,total_area_um2,area_percent
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4,Conv,Conv,11959,13360.284,5525.592,18885.876,100.0
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4,inverse_row_acc,InverseRowAccumulate,238,265.608,59.014,324.622,1.719
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4,inverse_row_acc_second,InverseRowAccumulate_360,160,189.756,34.681,224.437,1.188
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4,inverse_row_current,InverseRow,97,169.848,33.045,202.893,1.074
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4,inverse_row_lane1,InverseRow_359,97,169.848,33.045,202.893,1.074
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4,multip0,Multip,617,649.782,265.905,915.687,4.849
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4,multip1,Multip_367,612,632.268,251.999,884.267,4.682
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4,multip2,Multip_366,598,626.472,245.893,872.365,4.619
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4,multip3,Multip_365,612,631.26,251.999,883.259,4.677
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4,multip4,Multip_364,600,635.67,249.877,885.547,4.689
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4,multip5,Multip_363,603,637.434,250.504,887.938,4.702
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4,multip6,Multip_362,607,636.678,251.617,888.295,4.703
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4,multip7,Multip_361,603,637.938,250.504,888.442,4.704
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4,trf,Transform,2337,1694.574,773.588,2468.162,13.069
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4,matrix_c0,MatrixC0,1300,873.81,349.691,1223.501,6.478
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4,matrix_c1,MatrixC1,1037,820.764,272.153,1092.917,5.787
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4,weight_trf_row0,WeightTransformRowConst,323,332.388,116.333,448.721,2.376
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4,weight_trf_row1,WeightTransformRowConst_0,573,836.892,262.561,1099.453,5.822
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4,weight_trf_row2,WeightTransformRowConst_1,596,811.566,271.053,1082.619,5.732
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4,weight_trf_row3,WeightTransformRowConst_2,269,312.102,98.287,410.389,2.173
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4-exact,Conv,Conv,12903,14173.614,5868.097,20041.711,100.0
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4-exact,inverse_row_acc,InverseRowAccumulate,262,292.824,65.068,357.892,1.786
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4-exact,inverse_row_acc_second,InverseRowAccumulate_276,176,208.908,38.2,247.108,1.233
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4-exact,inverse_row_current,InverseRow,107,187.488,36.576,224.064,1.118
