file,memory,register,latch,logic,bbox,clock,pad,pm,Subtotal
ifn9-06m032p,0.0,0.582317,0.0,1.44462,0.0,0.0500944,0.0,0.0,2.07703
template,0.0,0.593368,0.0,1.55222,0.0,0.0503372,0.0,0.0,2.19593
ifn9-06m032p-csa,0.0,0.585438,0.0,1.45419,0.0,0.0500868,0.0,0.0,2.08972
ifn9-02m032p,0.0,0.635986,0.0,1.13249,0.0,0.0494186,0.0,0.0,1.8179
ifn9-04m032p,0.0,0.607628,0.0,1.20576,0.0,0.0461657,0.0,0.0,1.85955
ifn9-09m032p,0.0,0.574828,0.0,1.51065,0.0,0.0548157,0.0,0.0,2.1403
ifn9-12m032p,0.0,0.573937,0.0,1.51872,0.0,0.0429121,0.0,0.0,2.13557
ifn9-18m032p,0.0,0.564627,0.0,1.70628,0.0,0.0425003,0.0,0.0,2.31341
wmn4-02m,0.0,0.355054,0.0,0.755053,0.0,0.028729,0.0,0.0,1.13884
wmn4-04m,0.0,0.336734,0.0,0.86358,0.0,0.0273313,0.0,0.0,1.22765
wmn4-08m,0.0,0.328543,0.0,1.00731,0.0,0.0257561,0.0,0.0,1.36161
tcn9-05m032p,0.0,0.476582,0.0,1.42798,0.0,0.0478682,0.0,0.0,1.95243
tcn9-05m032p-csa,0.0,0.478693,0.0,1.41067,0.0,0.0478786,0.0,0.0,1.93724
ifn9-06m064p,0.0,0.581456,0.0,1.4462,0.0,0.0502744,0.0,0.0,2.07793
ifn9-06m128p,0.0,0.578269,0.0,1.41178,0.0,0.0503305,0.0,0.0,2.04038
ifn9-06m256p,0.0,0.588616,0.0,1.42831,0.0,0.0503266,0.0,0.0,2.06726
ifk9-06m032p,0.0,0.584783,0.0,1.57561,0.0,0.0501262,0.0,0.0,2.21052
ifk9-06m032p-csa,0.0,0.591422,0.0,1.63671,0.0,0.0501025,0.0,0.0,2.27824
tck9-05m032p-csa,0.0,0.585438,0.0,1.45419,0.0,0.0500868,0.0,0.0,2.08972
tck9-05m032p,0.0,0.49057,0.0,1.80912,0.0,0.0478753,0.0,0.0,2.34756
ifn9-03m032p,0.0,0.609481,0.0,1.39489,0.0,0.0574339,0.0,0.0,2.0618
