Project,nome,mult,side,extra,time_ns,cycles,nome_x,mult_x,extra_x,nome_y,mult_y,extra_y,Cell Count,Cell Area um^2,Net Area um^2,Total Area um^2,Flop Count,memory,register,latch,logic,bbox,clock,pad,pm,Subtotal,size,energy
IFk9-06m032p,IFk9,06,32,,9020.0,902,IFk9,6,,IFk9,6.0,,13604.0,15261.75,7527.842,22789.592,,,,,,,,,,,1024,
IFk9-06m032p-csa,IFk9,06,32,csa,9020.0,902,IFk9,6,csa,IFk9,6.0,csa,13844.0,16226.658,7769.976,23996.634,,,,,,,,,,,1024,
IFn9-02m032p,IFn9,02,32,,21020.0,2102,IFn9,2,,IFn9,2.0,,7703.0,9444.834,4140.25,13585.084,,,,,,,,,,,1024,
IFn9-03m032p,IFn9,03,32,,15020.0,1502,IFn9,3,,IFn9,3.0,,11018.0,12021.912,6190.854,18212.766,,,,,,,,,,,1024,
IFn9-04m032p,IFn9,04,32,,12020.0,1202,IFn9,4,,,,,,,,,,0.0,0.277545,0.0,1.49897,0.0,0.00896521,0.0,0.0,1.78548,1024,21.4614696
IFn9-06m032p,IFn9,06,32,,9020.0,902,IFn9,6,,IFn9,6.0,,14972.0,14973.714,7552.595,22526.309,,0.0,0.292095,0.0,2.16275,0.0,0.0143713,0.0,0.0,2.46921,1024,22.2722742
IFn9-06m032p-csa,IFn9,06,32,csa,9020.0,902,IFn9,6,csa,IFn9,6.0,csa,12525.0,13520.052,6959.624,20479.676,,,,,,,,,,,1024,
IFn9-06m032p-lut,IFn9,06,32,lut,9020.0,902,IFn9,6,lut,IFn9,6.0,lut,12858.0,13596.408,7090.73,20687.138,,,,,,,,,,,1024,
IFn9-09m032p,IFn9,09,32,,7020.0,702,IFn9,9,,IFn9,9.0,,13911.0,14995.764,7578.945,22574.709,,,,,,,,,,,1024,
IFn9-12m032p,IFn9,12,32,,6020.0,602,IFn9,12,,IFn9,12.0,,13469.0,15734.88,7355.975,23090.855,,,,,,,,,,,1024,
IFn9-18m032p,IFn9,18,32,,5020.0,502,IFn9,18,,IFn9,18.0,,18566.0,21160.44,9221.758,30382.198,,,,,,,,,,,1024,
TCk9-05m032p,TCk9,05,32,,8020.0,802,TCk9,5,,TCk9,5.0,,16136.0,20182.554,8610.366,28792.92,,,,,,,,,,,1024,
TCn9-05m032p,TCn9,05,32,,8020.0,802,TCn9,5,,TCn9,5.0,,14260.0,15732.108,7368.232,23100.34,,,,,,,,,,,1024,
TCn9-05m032p-csa,TCn9,05,32,csa,8020.0,802,TCn9,5,csa,TCn9,5.0,csa,14958.0,15973.65,7571.08,23544.73,,,,,,,,,,,1024,
