Project,nome,mult,side,extra,time_ns,cycles,nome_x,mult_x,extra_x,nome_y,mult_y,extra_y,Cell Count,Cell Area um^2,Net Area um^2,Total Area um^2,Flop Count,memory,register,latch,logic,bbox,clock,pad,pm,Subtotal,size,energy_nj
IFk9-06m032p,IFk9,06,32,,9020.0,902,IFk9,6.0,,IFk9,6.0,,15084,16757.496,7856.072,24613.568,726,0.0,0.306019,0.0,2.36629,0.0,0.0143912,0.0,0.0,2.6867,1024,24.234034
IFk9-06m032p-csa,IFk9,06,32,csa,9020.0,902,IFk9,6.0,csa,IFk9,6.0,csa,14995,17718.12,7965.904,25684.024,726,0.0,0.317435,0.0,2.44333,0.0,0.014391,0.0,0.0,2.77516,1024,25.0319432
IFn9-02m032p,IFn9,02,32,,21020.0,2102,IFn9,2.0,,IFn9,2.0,,9548,10118.304,4679.756,14798.06,728,0.0,0.263541,0.0,1.17637,0.0,0.0111975,0.0,0.0,1.45111,1024,30.502332199999998
IFn9-03m032p,IFn9,03,32,,15020.0,1502,IFn9,3.0,,IFn9,3.0,,12756,12885.264,6692.064,19577.328,727,0.0,0.270314,0.0,1.62166,0.0,0.019796,0.0,0.0,1.91177,1024,28.7147854
IFn9-04m032p,IFn9,04,32,,12020.0,1202,IFn9,4.0,,IFn9,4.0,,10770,11587.086,5305.5,16892.586,726,0.0,0.277545,0.0,1.49897,0.0,0.00896521,0.0,0.0,1.78548,1024,21.4614696
IFn9-06m032p,IFn9,06,32,,9020.0,902,IFn9,6.0,,IFn9,6.0,,14972,14973.714,7552.595,22526.309,726,0.0,0.292095,0.0,2.16275,0.0,0.0143713,0.0,0.0,2.46921,1024,22.2722742
IFn9-06m032p-csa,IFn9,06,32,csa,9020.0,902,IFn9,6.0,csa,IFn9,6.0,csa,14776,15088.122,7537.997,22626.119,726,0.0,0.301898,0.0,2.16805,0.0,0.0143911,0.0,0.0,2.48434,1024,22.4087468
IFn9-06m032p-lut,IFn9,06,32,lut,9020.0,902,IFn9,6.0,lut,IFn9,6.0,lut,15155,15069.096,7656.761,22725.857,726,0.0,0.302226,0.0,2.31968,0.0,0.0144302,0.0,0.0,2.63633,1024,23.779696599999998
IFn9-09m032p,IFn9,09,32,,7020.0,702,IFn9,9.0,,IFn9,9.0,,16574,16823.268,8223.0,25046.268,725,0.0,0.306535,0.0,2.60759,0.0,0.0206607,0.0,0.0,2.93479,1024,20.6022258
IFn9-12m032p,IFn9,12,32,,6020.0,602,IFn9,12.0,,IFn9,12.0,,16162,17112.942,7921.922,25034.864,724,0.0,0.321506,0.0,2.79449,0.0,0.00848513,0.0,0.0,3.12448,1024,18.8093696
IFn9-18m032p,IFn9,18,32,,5020.0,502,IFn9,18.0,,IFn9,18.0,,18566,21160.44,9221.758,30382.198,723,0.0,0.317498,0.0,2.89834,0.0,0.00889637,0.0,0.0,3.22473,1024,16.1881446
NAive-m032p,naive,,32,,30010.0,3000,naive,,,naive,,,13327,15345.666,5948.875,21294.541,193,0.0,0.0495238,0.0,1.65864,0.0,0.00508054,0.0,0.0,1.71324,1024,51.4143324
TCk9-05m032p,TCk9,05,32,,8020.0,802,TCk9,5.0,,TCk9,5.0,,16136,20182.554,8610.366,28792.92,505,0.0,0.242259,0.0,2.7688,0.0,0.0170416,0.0,0.0,3.0281,1024,24.285361999999996
TCn16-06m032p,TCn16,06,32,,5780.0,578,TCn16,6.0,,TCn16,6.0,,21144,24812.424,11035.693,35848.117,726,0.0,0.231408,0.0,2.05574,0.0,0.014615,0.0,0.0,2.30176,1024,13.304172799999998
TCn16-09m032p,TCn16,09,32,,4500.0,450,TCn16,9.0,,TCn16,9.0,,22197,26369.532,11434.857,37804.389,725,0.0,0.249439,0.0,2.33104,0.0,0.0221459,0.0,0.0,2.60262,1024,11.711789999999999
TCn16-12m032p,TCn16,12,32,,3860.0,386,TCn16,12.0,,TCn16,12.0,,22186,26806.752,11226.757,38033.509,724,0.0,0.255711,0.0,2.38465,0.0,0.00871607,0.0,0.0,2.64908,1024,10.2254488
TCn16-18m032p,TCn16,18,32,,3220.0,322,TCn16,18.0,,TCn16,18.0,,24469,30846.564,12459.526,43306.09,723,0.0,0.2761,0.0,2.68669,0.0,0.00921224,0.0,0.0,2.97201,1024,9.569872199999999
TCn9-05m032p,TCn9,05,32,,8020.0,802,TCn9,5.0,,TCn9,5.0,,14260,15732.108,7368.232,23100.34,505,0.0,0.234406,0.0,2.28327,0.0,0.01681,0.0,0.0,2.53449,1024,20.3266098
TCn9-05m032p-csa,TCn9,05,32,csa,8020.0,802,TCn9,5.0,csa,TCn9,5.0,csa,14958,15973.65,7571.08,23544.73,505,0.0,0.235967,0.0,2.27705,0.0,0.0169987,0.0,0.0,2.53001,1024,20.2906802
WMn4-02m032p,WMn4,02,32,,24770.0,2477,WMn4,2.0,,WMn4,2.0,,5135,5604.102,2537.093,8141.195,326,0.0,0.127403,0.0,0.725602,0.0,0.00645066,0.0,0.0,0.859456,1024,21.28872512
WMn4-04m032p,WMn4,04,32,,15770.0,1577,WMn4,4.0,,WMn4,4.0,,6375,6816.726,3157.339,9974.065,325,0.0,0.140726,0.0,0.976865,0.0,0.00551979,0.0,0.0,1.12311,1024,17.7114447
WMn4-08m032p,WMn4,08,32,,11270.0,1127,WMn4,8.0,,WMn4,8.0,,8421,9646.056,4208.416,13854.472,323,0.0,0.142981,0.0,1.2564,0.0,0.00472932,0.0,0.0,1.40411,1024,15.8243197
WPn16-04m032p,WPn16,04,32,,12180.0,1218,WPn16,4.0,,WPn16,4.0,,22371,23713.83,10544.283,34258.113,1287,0.0,0.451672,0.0,2.80226,0.0,0.0117988,0.0,0.0,3.26573,1024,39.7765914
WPn16-08m032p,WPn16,08,32,,7060.0,706,WPn16,8.0,,WPn16,8.0,,24879,27037.836,11798.363,38836.199,1286,0.0,0.507673,0.0,3.8326,0.0,0.0114798,0.0,0.0,4.35175,1024,30.723354999999998
WPn16-16m032p,WPn16,16,32,,4500.0,450,WPn16,16.0,,WPn16,16.0,,30265,32571.504,14380.241,46951.745,1285,0.0,0.544522,0.0,5.30312,0.0,0.0126856,0.0,0.0,5.86033,1024,26.371485
WPn16-32m032p,WPn16,32,32,,3220.0,322,WPn16,32.0,,WPn16,32.0,,39590,42336.756,18952.558,61289.314,1283,0.0,0.562799,0.0,6.10362,0.0,0.0138766,0.0,0.0,6.6803,1024,21.510565999999997
