Project,nome,mult,extra,memory,register,latch,logic,bbox,clock,pad,pm,Subtotal
IFk9-06m032p,IFk9,06,,0.0,0.306019,0.0,2.36629,0.0,0.0143912,0.0,0.0,2.6867
IFk9-06m032p-csa,IFk9,06,csa,0.0,0.317435,0.0,2.44333,0.0,0.014391,0.0,0.0,2.77516
IFn9-02m032p,IFn9,02,,0.0,0.263541,0.0,1.17637,0.0,0.0111975,0.0,0.0,1.45111
IFn9-03m032p,IFn9,03,,0.0,0.270314,0.0,1.62166,0.0,0.019796,0.0,0.0,1.91177
IFn9-04m032p,IFn9,04,,0.0,0.277545,0.0,1.49897,0.0,0.00896521,0.0,0.0,1.78548
IFn9-06m032p,IFn9,06,,0.0,0.292095,0.0,2.16275,0.0,0.0143713,0.0,0.0,2.46921
IFn9-06m032p-csa,IFn9,06,csa,0.0,0.301898,0.0,2.16805,0.0,0.0143911,0.0,0.0,2.48434
IFn9-06m032p-lut,IFn9,06,lut,0.0,0.302226,0.0,2.31968,0.0,0.0144302,0.0,0.0,2.63633
IFn9-09m032p,IFn9,09,,0.0,0.306535,0.0,2.60759,0.0,0.0206607,0.0,0.0,2.93479
IFn9-12m032p,IFn9,12,,0.0,0.321506,0.0,2.79449,0.0,0.00848513,0.0,0.0,3.12448
IFn9-18m032p,IFn9,18,,0.0,0.317498,0.0,2.89834,0.0,0.00889637,0.0,0.0,3.22473
NAive-m032p,naive,,,0.0,0.0495238,0.0,1.65864,0.0,0.00508054,0.0,0.0,1.71324
TCk9-05m032p,TCk9,05,,0.0,0.242259,0.0,2.7688,0.0,0.0170416,0.0,0.0,3.0281
TCk9-05m032p-csa,TCk9,05,csa,0.0,0.318207,0.0,2.34986,0.0,0.0178747,0.0,0.0,2.68595
TCn16-06m032p,TCn16,06,,0.0,0.276571,0.0,2.38481,0.0,0.014382,0.0,0.0,2.67576
TCn16-09m032p,TCn16,09,,0.0,0.299188,0.0,2.69634,0.0,0.0216705,0.0,0.0,3.0172
TCn16-12m032p,TCn16,12,,0.0,0.308783,0.0,2.78387,0.0,0.00864615,0.0,0.0,3.1013
TCn16-18m032p,TCn16,18,,0.0,0.329019,0.0,3.24678,0.0,0.00914866,0.0,0.0,3.58495
TCn9-05m032p,TCn9,05,,0.0,0.234406,0.0,2.28327,0.0,0.01681,0.0,0.0,2.53449
TCn9-05m032p-csa,TCn9,05,csa,0.0,0.235967,0.0,2.27705,0.0,0.0169987,0.0,0.0,2.53001
WMn4-02m032p,WMn4,02,,0.0,0.127403,0.0,0.725602,0.0,0.00645066,0.0,0.0,0.859456
WMn4-04m032p,WMn4,04,,0.0,0.140726,0.0,0.976865,0.0,0.00551979,0.0,0.0,1.12311
WMn4-08m032p,WMn4,08,,0.0,0.142981,0.0,1.2564,0.0,0.00472932,0.0,0.0,1.40411
WPn16-04m032p,WPn16,04,,0.0,0.451672,0.0,2.80226,0.0,0.0117988,0.0,0.0,3.26573
WPn16-08m032p,WPn16,08,,0.0,0.507673,0.0,3.8326,0.0,0.0114798,0.0,0.0,4.35175
WPn16-16m032p,WPn16,16,,0.0,0.544522,0.0,5.30312,0.0,0.0126856,0.0,0.0,5.86033
WPn16-32m032p,WPn16,32,,0.0,0.562799,0.0,6.10362,0.0,0.0138766,0.0,0.0,6.6803
