project,nome,mult,side,extra,time/ns,cycles
IFk9-06m032p,IFk9,06,32,,9020.0,902
IFk9-06m032p-csa,IFk9,06,32,csa,9020.0,902
IFn9-02m032p,IFn9,02,32,,21020.0,2102
IFn9-03m032p,IFn9,03,32,,15020.0,1502
IFn9-04m032p,IFn9,04,32,,12020.0,1202
IFn9-06m032p,IFn9,06,32,,9020.0,902
IFn9-06m032p-csa,IFn9,06,32,csa,9020.0,902
IFn9-06m032p-lut,IFn9,06,32,lut,9020.0,902
IFn9-09m032p,IFn9,09,32,,7020.0,702
IFn9-12m032p,IFn9,12,32,,6020.0,602
IFn9-18m032p,IFn9,18,32,,5020.0,502
NAive-m032p,naive,,32,,30010.0,3000
TCk9-05m032p,TCk9,05,32,,8020.0,802
TCn16-06m032p,TCn16,06,32,,5780.0,578
TCn16-09m032p,TCn16,09,32,,8020.0,802
TCn16-12m032p,TCn16,12,32,,8020.0,802
TCn16-18m032p,TCn16,18,32,,8020.0,802
TCn9-05m032p,TCn9,05,32,,8020.0,802
TCn9-05m032p-csa,TCn9,05,32,csa,8020.0,802
WMn4-02m032p,WMn4,02,32,,24770.0,2477
WMn4-04m032p,WMn4,04,32,,15770.0,1577
WMn4-08m032p,WMn4,08,32,,11270.0,1127
WPn16-04m032p,WPn16,04,32,,12180.0,1218
WPn16-08m032p,WPn16,08,32,,7060.0,706
WPn16-16m032p,WPn16,16,32,,4500.0,450
WPn16-32m032p,WPn16,32,32,,3220.0,322
