Project,nome,extra,mult,cycles,Cell Area um^2,Subtotal,energy_nj,slowdown_cycles,ratio_cell_area,ratio_power,ratio_energy
IFk9-06m032p-csa,IFk9,csa,6.0,902,17718.12,2.77516,25.0319432,0.7,-0.15,-0.62,0.51
IFk9-06m032p,IFk9,,6.0,902,16757.496,2.6867,24.234034,0.7,-0.09,-0.57,0.53
IFn9-02m032p,IFn9,,2.0,2102,10118.304,1.45111,30.5023322,0.3,0.34,0.15,0.41
IFn9-03m032p,IFn9,,3.0,1502,12885.264,1.91177,28.7147854,0.5,0.16,-0.12,0.44
IFn9-04m032p,IFn9,,4.0,1202,11587.086,1.78548,21.4614696,0.6,0.24,-0.04,0.58
IFn9-06m032p-csa,IFn9,csa,6.0,902,15088.122,2.48434,22.4087468,0.7,0.02,-0.45,0.56
IFn9-06m032p-lut,IFn9,lut,6.0,902,15069.096,2.63633,23.7796966,0.7,0.02,-0.54,0.54
IFn9-06m032p,IFn9,,6.0,902,14973.714,2.46921,22.2722742,0.7,0.02,-0.44,0.57
IFn9-09m032p,IFn9,,9.0,702,16823.268,2.93479,20.6022258,0.77,-0.1,-0.71,0.6
IFn9-12m032p,IFn9,,12.0,602,17112.942,3.12448,18.8093696,0.8,-0.12,-0.82,0.63
IFn9-18m032p,IFn9,,18.0,502,21160.44,3.22473,16.1881446,0.83,-0.38,-0.88,0.69
TCk9-05m032p,TCk9,,5.0,802,20182.554,3.0281,24.285362,0.73,-0.32,-0.77,0.53
TCn16-06m032p,TCn16,,6.0,578,24812.424,2.30176,13.304172799999998,0.81,-0.62,-0.34,0.74
TCn16-09m032p,TCn16,,9.0,450,26369.532,2.60262,11.71179,0.85,-0.72,-0.52,0.77
TCn16-12m032p,TCn16,,12.0,386,26806.752,2.64908,10.2254488,0.87,-0.75,-0.55,0.8
TCn16-18m032p,TCn16,,18.0,322,30846.564,2.97201,9.5698722,0.89,-1.01,-0.73,0.81
TCn9-05m032p-csa,TCn9,csa,5.0,802,15973.65,2.53001,20.2906802,0.73,-0.04,-0.48,0.61
TCn9-05m032p,TCn9,,5.0,802,15732.108,2.53449,20.3266098,0.73,-0.03,-0.48,0.6
WMn4-02m032p,WMn4,,2.0,2477,5604.102,0.859456,21.28872512,0.17,0.63,0.5,0.59
WMn4-04m032p,WMn4,,4.0,1577,6816.726,1.12311,17.7114447,0.47,0.56,0.34,0.66
WMn4-08m032p,WMn4,,8.0,1127,9646.056,1.40411,15.8243197,0.62,0.37,0.18,0.69
WPn16-04m032p,WPn16,,4.0,1218,23713.83,3.26573,39.7765914,0.59,-0.55,-0.91,0.23
WPn16-08m032p,WPn16,,8.0,706,27037.836,4.35175,30.723355,0.76,-0.76,-1.54,0.4
WPn16-16m032p,WPn16,,16.0,450,32571.504,5.86033,26.371485,0.85,-1.12,-2.42,0.49
WPn16-32m032p,WPn16,,32.0,322,42336.756,6.6803,21.510566,0.89,-1.76,-2.9,0.58
NAive-m032p,naive,,,3000,15345.666,1.71324,51.4143324,0.0,0.0,0.0,0.0
