Project,energy_nj,energy_per_pixel_nj,energy_per_mac_nj,energy_per_cycle_nj
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,141.005764095,0.14672816242976067,0.03668204060744017,0.0047470294941758685
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,152.95668904500002,0.159164088496358,0.0397910221240895,0.005149363353252088
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,141.60910311,0.14735598658688867,0.03683899664672217,0.004767341203541611
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4-exact,208.947305695,0.2174269570187305,0.02717836962734131,0.008144823641342482
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-wstream4,172.58896641500002,0.1795930972060354,0.022449137150754424,0.006727565542020738
Conv2x2-conv-i16-h16-t00-o4-m04-stream00,189.886833745608,0.19759295915255773,0.04939823978813943,0.006848938998939873
Conv2x2-conv-i16-h16-t00-o4-m08-stream00,217.464949882533,0.22629027042927471,0.02828628380365934,0.009185425549420612
Conv2x2-conv-i16-h16-t00-o4-m16-all,154.07080506000003,0.16032341837669098,0.010020213648543186,0.006508567297228794
Conv2x2-conv-i16-h16-t04-o4-m04-stream04,161.59407407601205,0.16815200216026227,0.04203800054006557,0.005828460742146512
Conv2x2-conv-i16-h16-t04-o4-m08-stream04,179.5402653182,0.18682649877023932,0.023353312346279916,0.007583538133820486
Conv2x2-conv-i16-h16-t08-o4-m04-stream08,150.11952367,0.15621178321540063,0.03905294580385016,0.005046204029379139
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,170.81011288,0.1777420529448491,0.022217756618106137,0.006646566515428615
Conv2x2-conv-i16-h16-t08-o4-mxx-stream08-generic,158.04324066499998,0.16445706624869927,,0.005312556410803724
Conv2x2-conv-i16-h16-t16-o4-m04-std,195.614691935,0.20355326944328825,0.05088831736082206,0.008261802252608016
Conv2x2-conv-i16-h16-t16-o4-m08-std,204.415671075,0.21271141631113424,0.02658892703889178,0.008634241650475185
Conv2x2-conv-i16-h20-t08-o4-m08-stream08-exact,188.626555805,0.19628153569719042,0.024535191962148803,0.007334702951549559
Conv2x2-conv-i20-h13-t08-o4-m08-stream08-prefetch4-rowconst4,170.02305342000002,0.1769230524661811,0.022115381558272636,0.007766446803398503
Conv2x2-conv-i20-h16-t08-o4-m04-stream08-prefetch4,151.15101341999997,0.15728513363163368,0.03932128340790842,0.005820440271862604
Conv2x2-conv-i20-h16-t08-o4-m08-stream08-prefetch4,170.255741115,0.17716518326222686,0.022145647907778357,0.007767495830786076
Conv3x3-ifn9-06mac,230.4900465,0.25610005166666666,0.042683341944444446,
Conv3x3stream-if-ifn9-06mac,209.413273375,0.2326814148611111,0.038780235810185186,0.009493325779727096
Conv3x3stream-if-ifn9-12mac,174.953030995,0.19439225666111112,0.01619935472175926,0.009037296915904748
Conv3x3stream-if-ifn9-18mac,180.84700785,0.20094111983333335,0.011163395546296298,0.009797226710547701
Conv3x3stream-tc-tcn9-05mac,167.04626624999997,0.18560696249999997,0.037121392499999996,0.007931921474358974
Conv3x3stream21-ifn9-06mac,209.39584479,0.23266204976666668,0.03877700829444445,0.00949253569019448
Conv4x4-tcn16-18mac,90.739038878488,0.10789421983173365,0.005994123323985203,0.0047105351647452635
Conv4x4stream28-tcn16-06mac,271.44131295,0.3227601818668252,0.05379336364447087,0.013747344287161307
