Project,simulation_log,logical_area,flop_report,power_report,mapped_netlist,sdf,complete
Conv2x2-conv-i16-h16-t00-o4-m04-stream4,True,True,True,True,True,True,True
Conv2x2-conv-i16-h16-t00-o4-m08-stream4,True,True,True,True,True,True,True
Conv2x2-conv-i16-h16-t00-o4-m16-all,True,True,True,True,True,False,False
Conv2x2-conv-i16-h16-t04-o4-m04-stream4,True,True,True,True,True,True,True
Conv2x2-conv-i16-h16-t08-o4-m02-04-08-stream12-generic,True,True,True,True,True,False,False
Conv2x2-conv-i16-h16-t08-o4-m04-stream12,True,True,True,True,True,True,True
Conv2x2-conv-i16-h16-t08-o4-m08-stream12,True,True,True,True,True,True,True
Conv2x2-conv-i16-h16-t16-o4-m04-std,True,True,True,True,True,False,False
Conv2x2-conv-i20-h16-t08-o4-m04-stream12-prefetch4,True,True,True,True,True,True,True
Conv3x3-ifn9-06mac,True,True,True,True,True,False,False
Conv3x3stream-if-ifn9-06mac,False,True,True,False,True,False,False
Conv3x3stream-if-ifn9-12mac,False,True,True,False,True,False,False
Conv3x3stream-if-ifn9-18mac,True,True,True,True,True,False,False
Conv3x3stream-tc-tcn9-05mac,True,True,True,True,True,False,False
Conv3x3stream21-ifn9-06mac,True,True,True,True,True,False,False
Conv4x4-tcn16-18mac,True,True,True,True,True,False,False
Conv4x4stream28-tcn16-06mac,True,True,True,True,True,False,False
