Project,nome,extra,mult,cycles,Cell Area um^2,Subtotal,energy_nj,slowdown_cycles,ratio_cell_area,ratio_power,ratio_energy
IFn9-02m032p,IFn9,,2.0,19874,14022.414,1.8179,361.289446,0.43,-2.24,-2.97,-1.27
IFn9-03m032p,IFn9,,3.0,17390,16624.692,2.0618,358.54702,0.5,-2.84,-3.51,-1.25
IFn9-04m032p,IFn9,,4.0,17363,15313.536,1.85955,322.8736665,0.5,-2.54,-3.06,-1.02
IFn9-06m032p-bus,IFn9,bus,6.0,8483,19502.028,3.01439,255.7107037,0.76,-3.51,-5.59,-0.6
IFn9-06m032p,IFn9,,6.0,17336,18077.472,2.07703,360.0739208,0.5,-3.18,-3.54,-1.26
IFn9-09m032p-bus,IFn9,bus,9.0,7574,21071.232,3.33032,252.2384368,0.78,-3.87,-6.28,-0.58
IFn9-09m032p,IFn9,,9.0,17318,19656.504,2.1403,370.657154,0.5,-3.54,-3.68,-1.32
IFn9-12m032p-bus,IFn9,bus,12.0,6674,21665.952,3.27825,218.790405,0.81,-4.01,-6.16,-0.37
IFn9-12m032p,IFn9,,12.0,17309,20252.484,2.13557,369.6458113,0.5,-3.68,-3.67,-1.32
IFn9-18m032p-bus,IFn9,bus,18.0,6363,25079.922,3.44983,219.5126829,0.82,-4.8,-6.54,-0.38
IFn9-18m032p,IFn9,,18.0,17300,23658.138,2.31341,400.21993,0.5,-4.47,-4.06,-1.51
TCn16-06m032p-bus,TCn16,bus,6.0,7152,30369.528,3.65692,261.5429184,0.79,-6.02,-6.99,-0.64
TCn16-06m032p,TCn16,,6.0,18375,28501.956,2.5351,465.824625,0.47,-5.59,-4.54,-1.92
TCn16-09m032p-bus,TCn16,bus,9.0,6672,31895.136,3.89641,259.9684752,0.81,-6.37,-7.52,-0.63
TCn16-09m032p,TCn16,,9.0,18357,29933.442,2.64259,485.1002463,0.47,-5.92,-4.78,-2.04
TCn16-12m032p-bus,TCn16,bus,12.0,6432,32253.606,3.81766,245.5518912,0.82,-6.45,-7.34,-0.54
TCn16-12m032p,TCn16,,12.0,18348,30330.342,2.63108,482.7505584,0.47,-6.01,-4.75,-2.03
TCn16-18m032p-bus,TCn16,bus,18.0,6363,35671.23,4.07986,259.6014918,0.82,-7.24,-7.92,-0.63
TCn16-18m032p,TCn16,,18.0,17300,33788.664,2.31341,400.21993,0.5,-6.81,-4.06,-1.51
TCn9-05m032p-bus,TCn9,bus,5.0,7484,19963.944,2.96758,222.0936872,0.79,-3.61,-5.49,-0.39
TCn9-05m032p,TCn9,,5.0,17228,18571.518,1.95243,336.36464040000004,0.51,-3.29,-3.27,-1.11
WMn4-02m032p,WMn4,,2.0,23334,7610.022,1.13884,265.7369256,0.33,-0.76,-1.49,-0.67
WMn4-04m032p-bus,WMn4,bus,4.0,10318,11490.066,1.87575,193.539885,0.7,-1.65,-3.1,-0.21
WMn4-04m032p,WMn4,,4.0,20778,8866.116,1.22765,255.081117,0.4,-1.05,-1.68,-0.6
WMn4-08m032p-bus,WMn4,bus,8.0,10318,11490.066,1.87575,193.539885,0.7,-1.65,-3.1,-0.21
WMn4-08m032p,WMn4,,8.0,20760,11220.552,1.36161,282.670236,0.4,-1.59,-1.98,-0.77
WPn16-08m032p-bus,WPn16,bus,8.0,10318,32361.966,1.87575,193.539885,0.7,-6.48,-3.1,-0.21
WPn16-08m032p,WPn16,,8.0,20760,30503.088,1.36161,282.670236,0.4,-6.05,-1.98,-0.77
NAive,naive,,,34857,4327.722,0.457545,159.4818852,0.0,0.0,0.0,0.0
