Project,nome,extra,mult,cycles,energy_nj,baseline_factor,energy_baseline_eq,energy_increase_pct
IFn9-02m032p,IFn9,,2.0,19874,361.289446,0.37657240615880044,83.63435418158399,-76.85114937412703
IFn9-03m032p,IFn9,,3.0,17390,358.54702,0.4303622771707878,95.58074496864864,-73.34220070532209
IFn9-04m032p,IFn9,,4.0,17363,322.8736665,0.4310315037723896,95.72937597217071,-70.3508257548868
IFn9-06m032p-bus,IFn9,bus,6.0,8483,255.7107037,0.8822350583519981,195.93883708650242,-23.37480040867667
IFn9-06m032p,IFn9,,6.0,17336,360.0739208,0.43170281495154594,95.87846994720813,-73.3725592416722
IFn9-09m032p-bus,IFn9,bus,9.0,7574,252.2384368,0.9881172432004225,219.45460192828097,-12.99716065783953
IFn9-09m032p,IFn9,,9.0,17318,370.657154,0.43215151865111445,95.97812420630558,-74.10595663120384
IFn9-12m032p-bus,IFn9,bus,12.0,6674,218.790405,1.1213664968534611,249.04841998873238,13.829680962806565
IFn9-12m032p,IFn9,,12.0,17309,369.6458113,0.4323762204633428,96.0280290603039,-74.02161038357643
IFn9-18m032p-bus,IFn9,bus,18.0,6363,219.5126829,1.1761747603331763,261.2209893139714,19.000408478890414
IFn9-18m032p,IFn9,,18.0,17300,400.21993,0.43260115606936417,96.07798583842775,-75.99370280274954
TCn16-06m032p-bus,TCn16,bus,6.0,7152,261.5429184,1.046420581655481,232.40340534183446,-11.141388662490952
TCn16-06m032p,TCn16,,6.0,18375,465.824625,0.40729251700680275,90.45709687100953,-80.58129776393648
TCn16-09m032p-bus,TCn16,bus,9.0,6672,259.9684752,1.1217026378896882,249.12307479088727,-4.171813678858215
TCn16-09m032p,TCn16,,9.0,18357,485.1002463,0.40769188865282996,90.54579479243885,-81.3346219708075
TCn16-12m032p-bus,TCn16,bus,12.0,6432,245.5518912,1.1635572139303483,258.4187119099503,5.239959931512137
TCn16-12m032p,TCn16,,12.0,18348,482.7505584,0.407891868323523,90.59020901486811,-81.2345718842636
TCn16-18m032p-bus,TCn16,bus,18.0,6363,259.6014918,1.1761747603331763,261.2209893139714,0.6238398334086137
TCn16-18m032p,TCn16,,18.0,17300,400.21993,0.43260115606936417,96.07798583842775,-75.99370280274954
TCn9-05m032p,TCn9,,5.0,17228,336.36464040000004,0.4344091014627351,96.47951909709775,-71.31698534591338
WMn4-02m032p,WMn4,,2.0,23334,265.7369256,0.3207336933230479,71.23292855938973,-73.19419256523913
WMn4-04m032p-bus,WMn4,bus,4.0,10318,193.539885,0.7253343671254119,161.09218404776118,-16.76538195330581
WMn4-04m032p,WMn4,,4.0,20778,255.081117,0.3601886610838387,79.99562782774088,-68.63914163127141
WMn4-08m032p-bus,WMn4,bus,8.0,10318,193.539885,0.7253343671254119,161.09218404776118,-16.76538195330581
WMn4-08m032p,WMn4,,8.0,20760,282.670236,0.3605009633911368,80.06498819868979,-71.67547976339122
WPn16-08m032p-bus,WPn16,bus,8.0,10318,193.539885,0.7253343671254119,161.09218404776118,-16.76538195330581
WPn16-08m032p,WPn16,,8.0,20760,282.670236,0.3605009633911368,80.06498819868979,-71.67547976339122
NAive,naive,,,34857,159.4818852,0.21470579797458186,47.68480233539318,-70.10017640837796
