nome,mult,Project,cycles,Total Area um^2,Subtotal,energy_nj,delta_cycles,delta_area_um2,delta_power_mW,delta_energy_nj
Conv2x2,4,Conv2x2-tcn4-04mac,23677.0,12017.925,0.826093,195.614691935,,,,
Conv2x2,16,Conv2x2-tcn4-16mac,23672.0,23129.636,0.650788,154.07080506000003,-5.0,11111.711,-0.17530499999999993,-41.54388687499997
Conv2x2-stream12,2,Conv2x2-stream12-tcn4-02mac,29749.0,11012.366,0.531211,158.04324066499998,,,,
Conv2x2-stream12,4,Conv2x2-stream12-tcn4-04mac,29749.0,11010.342,0.508947,151.41936670500002,0.0,-2.0239999999994325,-0.02226399999999995,-6.623873959999969
Conv2x2-stream12,8,Conv2x2-stream12-tcn4-08mac,25699.0,15873.661,0.669638,172.10701056999997,-4050.0,4863.3189999999995,0.16069099999999992,20.687643864999956
Conv2x2-stream4,4,Conv2x2-stream4-tcn4-04mac,27725.0,12127.77,0.692382,191.973434398782,,,,
Conv2x2-stream4,4,Conv2x2-stream4-tcn4-04mac-rdrow,27725.0,10857.984,0.582814,161.59407407601205,0.0,-1269.786,-0.109568,-30.37936032276994
Conv2x2-stream4,8,Conv2x2-stream4-tcn4-08mac,23675.0,16855.605,0.918483,217.464949882533,-4050.0,5997.620999999999,0.335669,55.87087580652096
Conv3x3,6,Conv3x3-ifn9-06mac,,21894.169,1.3121,230.4900465,,,,
Conv3x3stream-if,18,Conv3x3stream-if-ifn9-18mac,18459.0,33294.557,0.97959,180.84700785,,,,
Conv3x3stream-tc,5,Conv3x3stream-tc-tcn9-05mac,21060.0,21127.357,0.793098,167.04626624999997,,,,
Conv3x3stream21,6,Conv3x3stream21-ifn9-06mac,22059.0,19964.327,0.949146,209.39584479,,,,
Conv4x4,18,Conv4x4-tcn16-18mac,19263.0,45892.462,0.471016,90.739038878488,,,,
Conv4x4stream28,6,Conv4x4stream28-tcn16-06mac,19745.0,33211.728,1.37463,271.44131295,,,,
