Project,nome,mult,side,extra,time_ns,cycles,Cell Count,Cell Area um^2,Net Area um^2,Total Area um^2,Flop Count,memory,register,latch,logic,bbox,clock,pad,pm,Subtotal,size,energy_nj
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-wstream4,Conv2x2,08,32,,256565.0,25654.0,11778,13250.664,5423.023,18673.687,1061,0.0,0.140324,0.0,0.510091,0.0,0.0222757,0.0,0.0,0.672691,1024,172.58896641500002
Conv2x2-conv-i16-h16-t00-o4-m08-stream00,Conv2x2,08,32,,236765.351,23675.0,11818,11700.99,5154.615,16855.605,1023,0.0,0.166916,0.0,0.726525,0.0,0.025042,0.0,0.0,0.918483,1024,217.464949882533
Conv2x2-conv-i16-h16-t00-o4-m16-all,Conv2x2,16,32,,236745.0,23672.0,15200,16096.374,7033.262,23129.636,1019,0.0,0.113593,0.0,0.516132,0.0,0.0210622,0.0,0.0,0.650788,1024,154.07080506000003
Conv2x2-conv-i16-h16-t04-o4-m08-stream04,Conv2x2,08,32,,236765.24,23675.0,10338,11091.024,4664.783,15755.807,1023,0.0,0.165697,0.0,0.567318,0.0,0.0252902,0.0,0.0,0.758305,1024,179.5402653182
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,Conv2x2,08,32,,257015.0,25699.0,10254,11018.826,4641.563,15660.389,1025,0.0,0.137067,0.0,0.50143,0.0,0.0260945,0.0,0.0,0.664592,1024,170.81011288
Conv2x2-conv-i16-h16-t16-o4-m08-std,Conv2x2,08,32,,236775.0,23675.0,8874,11220.804,4454.464,15675.268,1263,0.0,0.213996,0.0,0.621175,0.0,0.0281618,0.0,0.0,0.863333,1024,204.41567107499998
Conv2x2-conv-i16-h20-t08-o4-m08-stream08-exact,Conv2x2,08,32,,257195.0,25717.0,11153,12022.416,4985.31,17007.726,1205,0.0,0.153771,0.0,0.555147,0.0,0.0244812,0.0,0.0,0.733399,1024,188.626555805
Conv2x2-conv-i20-h13-t08-o4-m08-stream08-prefetch4-rowconst4,Conv2x2,08,32,,218945.0,21892.0,12222,13681.836,5629.474,19311.31,1161,0.0,0.16307,0.0,0.587332,0.0,0.0261538,0.0,0.0,0.776556,1024,170.02305342000002
Conv2x2-conv-i20-h13-t08-o4-m08-stream08-prefetch4-rowconst4-latch,Conv2x2,08,32,,239195.0,23917.0,11299,13356.252,5482.353,18838.605,821,0.0,0.124186,0.0140623,0.584294,0.0,0.0193156,0.0,0.0,0.741858,1024,177.44872431
Conv2x2-conv-i20-h16-t08-o4-m08-stream08-prefetch4,Conv2x2,08,32,,219215.0,21919.0,10506,11332.566,4740.575,16073.141,1124,0.0,0.182249,0.0,0.563757,0.0,0.030655,0.0,0.0,0.776661,1024,170.255741115
Conv3x3-ifn9-06mac,Conv3x3,06,32,,175665.0,,11915,16155.846,5738.323,21894.169,2451,0.0,0.466217,0.0,0.789386,0.0,0.0564987,0.0,0.0,1.3121,1024,230.4900465
Conv3x3stream-if-ifn9-06mac,Conv3x3stream-if,06,32,,220615.0,22059.0,11222,14612.85,5347.179,19960.029,2156,0.0,0.309852,0.0,0.589748,0.0,0.0496245,0.0,0.0,0.949225,1024,209.413273375
Conv3x3stream-if-ifn9-12mac,Conv3x3stream-if,12,32,,193615.0,19359.0,15062,18616.626,7078.124,25694.75,2153,0.0,0.267771,0.0,0.590451,0.0,0.0453916,0.0,0.0,0.903613,1024,174.953030995
Conv3x3stream-if-ifn9-18mac,Conv3x3stream-if,18,32,,184615.0,18459.0,19755,23820.426,9474.131,33294.557,2274,0.0,0.260082,0.0,0.675493,0.0,0.0440139,0.0,0.0,0.97959,1024,180.84700784999998
Conv3x3stream-tc-tcn9-05mac,Conv3x3stream-tc,05,32,,210625.0,21060.0,11782,15624.882,5502.475,21127.357,1885,0.0,0.242693,0.0,0.508232,0.0,0.0421729,0.0,0.0,0.793098,1024,167.04626624999997
Conv3x3stream21-ifn9-06mac,Conv3x3stream21,06,32,,220615.0,22059.0,11220,14619.528,5344.799,19964.327,2156,0.0,0.308314,0.0,0.591186,0.0,0.0496461,0.0,0.0,0.949146,1024,209.39584479
Conv4x4-tcn16-18mac,Conv4x4,18,32,,192645.343,19263.0,23947,33446.196,12446.266,45892.462,2898,0.0,0.196048,0.0,0.229645,0.0,0.0453229,0.0,0.0,0.471016,1024,90.73903887848799
Conv4x4stream28-tcn16-06mac,Conv4x4stream28,06,32,,197465.0,19745.0,16564,25224.318,7987.41,33211.728,3464,0.0,0.805067,0.0,0.54091,0.0,0.0286499,0.0,0.0,1.37463,1024,271.44131295
