dataset,count,mae,rmse,max_abs,max_rel,mismatch_rate
data/ifn9/sim/sim-032-1-1-normal,900,572.5114688966667,717.6023346390971,2259.092595,623.8535499492307,1.0
data/ifn9/sim/sim-032-3-3-normal,2700,1121.1179258885184,1430.4180147236755,5681.59788,3642.9354502863093,1.0
data/tcn16/sim/sim-032-1-1-normal,900,580.2056984788888,727.1073452046605,2608.953124,5480.8622548285675,1.0
data/tcn16/sim/sim-032-3-3-normal,2700,1149.194252278889,1459.0008055591147,5827.59788,34356.10567412806,1.0
data/tcn4/sim/sim-032-1-1-normal,900,572.4948040477778,717.5705332862534,2257.092595,583.7611250804046,1.0
data/tcn4/sim/sim-032-3-3-normal,2700,1121.4706079700002,1430.6849037519116,5688.59788,3825.530612244898,1.0
data/tcn9/sim/sim-032-1-1-normal,900,573.0553139877778,717.6954921185434,2252.092595,2504.1289111389233,1.0
data/tcn9/sim/sim-032-3-3-normal,2700,1120.6851058062962,1429.7701054583038,5659.59788,8327.995314940135,1.0
data/wpn16/sim/sim-032-1-1-normal,900,572.8948022300001,717.9352911225344,2249.092595,1152.5926170072512,1.0
data/wpn16/sim/sim-032-3-3-normal,2700,1121.7038618033334,1431.1434491705386,5658.59788,13013.055179593963,1.0
