Project,area_um2,power_mW,energy_nj,cycles,pareto_optimal
Conv2x2-conv-i16-h16-t00-o4-m04-stream4,12127.77,0.692382,191.973434398782,27725.0,False
Conv2x2-conv-i16-h16-t00-o4-m08-stream4,16855.605,0.918483,217.464949882533,23675.0,True
Conv2x2-conv-i16-h16-t00-o4-m16-all,23129.636,0.650788,154.07080506000003,23672.0,True
Conv2x2-conv-i16-h16-t04-o4-m04-stream8,10857.984,0.582814,161.59407407601205,27725.0,True
Conv2x2-conv-i16-h16-t08-o4-mxx-stream12-generic,11012.366,0.531211,158.04324066499998,29749.0,False
Conv2x2-conv-i16-h16-t08-o4-m04-stream12,10823.183,0.504578,150.11952367,29749.0,True
Conv2x2-conv-i16-h16-t08-o4-m08-stream12,15660.389,0.664592,170.81011288,25699.0,True
Conv2x2-conv-i16-h16-t16-o4-m04-std,12017.925,0.826093,195.614691935,23677.0,True
Conv2x2-conv-i20-h16-t08-o4-m04-stream12-prefetch4,11131.884,0.581988,151.15101341999997,25969.0,True
Conv3x3-ifn9-06mac,21894.169,1.3121,230.4900465,,False
Conv3x3stream-if-ifn9-18mac,33294.557,0.97959,180.84700785,18459.0,True
Conv3x3stream-tc-tcn9-05mac,21127.357,0.793098,167.04626624999997,21060.0,True
Conv3x3stream21-ifn9-06mac,19964.327,0.949146,209.39584479,22059.0,True
Conv4x4-tcn16-18mac,45892.462,0.471016,90.739038878488,19263.0,True
Conv4x4stream28-tcn16-06mac,33211.728,1.37463,271.44131295,19745.0,True
