Project,category,power_mW,percent_of_subtotal
Conv2x2-conv-i16-h16-t00-o4-m04-stream4,memory,0.0,0.0
Conv2x2-conv-i16-h16-t00-o4-m04-stream4,register,0.174438,25.19389585517821
Conv2x2-conv-i16-h16-t00-o4-m04-stream4,latch,0.0,0.0
Conv2x2-conv-i16-h16-t00-o4-m04-stream4,logic,0.49124,70.94927366684864
Conv2x2-conv-i16-h16-t00-o4-m04-stream4,bbox,0.0,0.0
Conv2x2-conv-i16-h16-t00-o4-m04-stream4,clock,0.026704,3.8568304779731415
Conv2x2-conv-i16-h16-t00-o4-m04-stream4,pad,0.0,0.0
Conv2x2-conv-i16-h16-t00-o4-m04-stream4,pm,0.0,0.0
Conv2x2-conv-i16-h16-t00-o4-m08-stream4,memory,0.0,0.0
Conv2x2-conv-i16-h16-t00-o4-m08-stream4,register,0.166916,18.173009190153763
Conv2x2-conv-i16-h16-t00-o4-m08-stream4,latch,0.0,0.0
Conv2x2-conv-i16-h16-t00-o4-m08-stream4,logic,0.726525,79.10053860550495
Conv2x2-conv-i16-h16-t00-o4-m08-stream4,bbox,0.0,0.0
Conv2x2-conv-i16-h16-t00-o4-m08-stream4,clock,0.025042,2.726452204341289
Conv2x2-conv-i16-h16-t00-o4-m08-stream4,pad,0.0,0.0
Conv2x2-conv-i16-h16-t00-o4-m08-stream4,pm,0.0,0.0
Conv2x2-conv-i16-h16-t00-o4-m16-all,memory,0.0,0.0
Conv2x2-conv-i16-h16-t00-o4-m16-all,register,0.113593,17.454685704100257
Conv2x2-conv-i16-h16-t00-o4-m16-all,latch,0.0,0.0
Conv2x2-conv-i16-h16-t00-o4-m16-all,logic,0.516132,79.30877643718078
Conv2x2-conv-i16-h16-t00-o4-m16-all,bbox,0.0,0.0
Conv2x2-conv-i16-h16-t00-o4-m16-all,clock,0.0210622,3.236414930822326
Conv2x2-conv-i16-h16-t00-o4-m16-all,pad,0.0,0.0
Conv2x2-conv-i16-h16-t00-o4-m16-all,pm,0.0,0.0
Conv2x2-conv-i16-h16-t04-o4-m04-stream4,memory,0.0,0.0
Conv2x2-conv-i16-h16-t04-o4-m04-stream4,register,0.186121,31.934888317713714
Conv2x2-conv-i16-h16-t04-o4-m04-stream4,latch,0.0,0.0
Conv2x2-conv-i16-h16-t04-o4-m04-stream4,logic,0.369382,63.37905403782339
Conv2x2-conv-i16-h16-t04-o4-m04-stream4,bbox,0.0,0.0
Conv2x2-conv-i16-h16-t04-o4-m04-stream4,clock,0.0273115,4.686143435126815
Conv2x2-conv-i16-h16-t04-o4-m04-stream4,pad,0.0,0.0
Conv2x2-conv-i16-h16-t04-o4-m04-stream4,pm,0.0,0.0
Conv2x2-conv-i16-h16-t08-o4-m02-04-08-stream12-generic,memory,0.0,0.0
Conv2x2-conv-i16-h16-t08-o4-m02-04-08-stream12-generic,register,0.169577,31.922719973795722
Conv2x2-conv-i16-h16-t08-o4-m02-04-08-stream12-generic,latch,0.0,0.0
Conv2x2-conv-i16-h16-t08-o4-m02-04-08-stream12-generic,logic,0.333295,62.74248838973591
Conv2x2-conv-i16-h16-t08-o4-m02-04-08-stream12-generic,bbox,0.0,0.0
Conv2x2-conv-i16-h16-t08-o4-m02-04-08-stream12-generic,clock,0.0283388,5.334753986645608
Conv2x2-conv-i16-h16-t08-o4-m02-04-08-stream12-generic,pad,0.0,0.0
Conv2x2-conv-i16-h16-t08-o4-m02-04-08-stream12-generic,pm,0.0,0.0
Conv2x2-conv-i16-h16-t08-o4-m04-stream12,memory,0.0,0.0
Conv2x2-conv-i16-h16-t08-o4-m04-stream12,register,0.15677,31.06952740706095
Conv2x2-conv-i16-h16-t08-o4-m04-stream12,latch,0.0,0.0
Conv2x2-conv-i16-h16-t08-o4-m04-stream12,logic,0.319999,63.4191344053843
Conv2x2-conv-i16-h16-t08-o4-m04-stream12,bbox,0.0,0.0
Conv2x2-conv-i16-h16-t08-o4-m04-stream12,clock,0.0278083,5.5111994577647065
Conv2x2-conv-i16-h16-t08-o4-m04-stream12,pad,0.0,0.0
Conv2x2-conv-i16-h16-t08-o4-m04-stream12,pm,0.0,0.0
Conv2x2-conv-i16-h16-t08-o4-m08-stream12,memory,0.0,0.0
Conv2x2-conv-i16-h16-t08-o4-m08-stream12,register,0.137067,20.624232611888196
Conv2x2-conv-i16-h16-t08-o4-m08-stream12,latch,0.0,0.0
Conv2x2-conv-i16-h16-t08-o4-m08-stream12,logic,0.50143,75.44929821604835
Conv2x2-conv-i16-h16-t08-o4-m08-stream12,bbox,0.0,0.0
Conv2x2-conv-i16-h16-t08-o4-m08-stream12,clock,0.0260945,3.9263939379348534
Conv2x2-conv-i16-h16-t08-o4-m08-stream12,pad,0.0,0.0
Conv2x2-conv-i16-h16-t08-o4-m08-stream12,pm,0.0,0.0
Conv2x2-conv-i16-h16-t16-o4-m04-std,memory,0.0,0.0
Conv2x2-conv-i16-h16-t16-o4-m04-std,register,0.264068,31.965892460049904
Conv2x2-conv-i16-h16-t16-o4-m04-std,latch,0.0,0.0
Conv2x2-conv-i16-h16-t16-o4-m04-std,logic,0.529235,64.06482078894265
Conv2x2-conv-i16-h16-t16-o4-m04-std,bbox,0.0,0.0
Conv2x2-conv-i16-h16-t16-o4-m04-std,clock,0.0327901,3.969298856182053
Conv2x2-conv-i16-h16-t16-o4-m04-std,pad,0.0,0.0
Conv2x2-conv-i16-h16-t16-o4-m04-std,pm,0.0,0.0
Conv2x2-conv-i20-h16-t08-o4-m04-stream12-prefetch4,memory,0.0,0.0
Conv2x2-conv-i20-h16-t08-o4-m04-stream12-prefetch4,register,0.195571,33.60395746991347
Conv2x2-conv-i20-h16-t08-o4-m04-stream12-prefetch4,latch,0.0,0.0
Conv2x2-conv-i20-h16-t08-o4-m04-stream12-prefetch4,logic,0.353768,60.7861330474168
Conv2x2-conv-i20-h16-t08-o4-m04-stream12-prefetch4,bbox,0.0,0.0
Conv2x2-conv-i20-h16-t08-o4-m04-stream12-prefetch4,clock,0.0326494,5.609978212609195
Conv2x2-conv-i20-h16-t08-o4-m04-stream12-prefetch4,pad,0.0,0.0
Conv2x2-conv-i20-h16-t08-o4-m04-stream12-prefetch4,pm,0.0,0.0
Conv3x3-ifn9-06mac,memory,0.0,0.0
Conv3x3-ifn9-06mac,register,0.466217,35.53212407590885
Conv3x3-ifn9-06mac,latch,0.0,0.0
Conv3x3-ifn9-06mac,logic,0.789386,60.162030333053885
Conv3x3-ifn9-06mac,bbox,0.0,0.0
Conv3x3-ifn9-06mac,clock,0.0564987,4.3059751543327485
Conv3x3-ifn9-06mac,pad,0.0,0.0
Conv3x3-ifn9-06mac,pm,0.0,0.0
Conv3x3stream-if-ifn9-18mac,memory,0.0,0.0
Conv3x3stream-if-ifn9-18mac,register,0.260082,26.550087281413653
Conv3x3stream-if-ifn9-18mac,latch,0.0,0.0
Conv3x3stream-if-ifn9-18mac,logic,0.675493,68.9567063771578
Conv3x3stream-if-ifn9-18mac,bbox,0.0,0.0
Conv3x3stream-if-ifn9-18mac,clock,0.0440139,4.493094049551344
Conv3x3stream-if-ifn9-18mac,pad,0.0,0.0
Conv3x3stream-if-ifn9-18mac,pm,0.0,0.0
Conv3x3stream-tc-tcn9-05mac,memory,0.0,0.0
Conv3x3stream-tc-tcn9-05mac,register,0.242693,30.600631952167323
Conv3x3stream-tc-tcn9-05mac,latch,0.0,0.0
Conv3x3stream-tc-tcn9-05mac,logic,0.508232,64.08186630151633
Conv3x3stream-tc-tcn9-05mac,bbox,0.0,0.0
Conv3x3stream-tc-tcn9-05mac,clock,0.0421729,5.317489137534076
Conv3x3stream-tc-tcn9-05mac,pad,0.0,0.0
Conv3x3stream-tc-tcn9-05mac,pm,0.0,0.0
Conv3x3stream21-ifn9-06mac,memory,0.0,0.0
Conv3x3stream21-ifn9-06mac,register,0.308314,32.48330604564524
Conv3x3stream21-ifn9-06mac,latch,0.0,0.0
Conv3x3stream21-ifn9-06mac,logic,0.591186,62.286097186312745
Conv3x3stream21-ifn9-06mac,bbox,0.0,0.0
Conv3x3stream21-ifn9-06mac,clock,0.0496461,5.230607303828915
Conv3x3stream21-ifn9-06mac,pad,0.0,0.0
Conv3x3stream21-ifn9-06mac,pm,0.0,0.0
Conv4x4-tcn16-18mac,memory,0.0,0.0
Conv4x4-tcn16-18mac,register,0.196048,41.6223652699696
Conv4x4-tcn16-18mac,latch,0.0,0.0
Conv4x4-tcn16-18mac,logic,0.229645,48.75524398321925
Conv4x4-tcn16-18mac,bbox,0.0,0.0
Conv4x4-tcn16-18mac,clock,0.0453229,9.622369516109856
Conv4x4-tcn16-18mac,pad,0.0,0.0
Conv4x4-tcn16-18mac,pm,0.0,0.0
Conv4x4stream28-tcn16-06mac,memory,0.0,0.0
Conv4x4stream28-tcn16-06mac,register,0.805067,58.566086874286164
Conv4x4stream28-tcn16-06mac,latch,0.0,0.0
Conv4x4stream28-tcn16-06mac,logic,0.54091,39.349497683012885
Conv4x4stream28-tcn16-06mac,bbox,0.0,0.0
Conv4x4stream28-tcn16-06mac,clock,0.0286499,2.084189927471392
Conv4x4stream28-tcn16-06mac,pad,0.0,0.0
Conv4x4stream28-tcn16-06mac,pm,0.0,0.0
