Project,nome,mult,extra,memory,register,latch,logic,bbox,clock,pad,pm,Subtotal
Conv2x2-conv-all-i16-h16-t0-o4-m16,Conv2x2,16,,0.0,0.113593,0.0,0.516132,0.0,0.0210622,0.0,0.0,0.650788
Conv2x2-conv-std-i16-h16-t16-o4-m4,Conv2x2,4,,0.0,0.264068,0.0,0.529235,0.0,0.0327901,0.0,0.0,0.826093
Conv2x2-conv-stream12-generic-i16-h16-t8-o4-m2-4-8,Conv2x2,2,,0.0,0.169577,0.0,0.333295,0.0,0.0283388,0.0,0.0,0.531211
Conv2x2-conv-stream12-i16-h16-t8-o4-m4,Conv2x2,4,,0.0,0.15677,0.0,0.319999,0.0,0.0278083,0.0,0.0,0.504578
Conv2x2-conv-stream12-i16-h16-t8-o4-m4-prefetch4,Conv2x2,4,,0.0,0.195571,0.0,0.353768,0.0,0.0326494,0.0,0.0,0.581988
Conv2x2-conv-stream12-i16-h16-t8-o4-m8,Conv2x2,8,,0.0,0.137067,0.0,0.50143,0.0,0.0260945,0.0,0.0,0.664592
Conv2x2-conv-stream4-i16-h16-t0-o4-m4,Conv2x2,4,,0.0,0.174438,0.0,0.49124,0.0,0.026704,0.0,0.0,0.692382
Conv2x2-conv-stream4-i16-h16-t0-o4-m8,Conv2x2,8,,0.0,0.166916,0.0,0.726525,0.0,0.025042,0.0,0.0,0.918483
Conv2x2-conv-stream4-i16-h16-t4-o4-m4,Conv2x2,4,,0.0,0.186121,0.0,0.369382,0.0,0.0273115,0.0,0.0,0.582814
Conv3x3-ifn9-06mac,Conv3x3,06,,0.0,0.466217,0.0,0.789386,0.0,0.0564987,0.0,0.0,1.3121
Conv3x3stream-if-ifn9-18mac,Conv3x3stream-if,18,,0.0,0.260082,0.0,0.675493,0.0,0.0440139,0.0,0.0,0.97959
Conv3x3stream-tc-tcn9-05mac,Conv3x3stream-tc,05,,0.0,0.242693,0.0,0.508232,0.0,0.0421729,0.0,0.0,0.793098
Conv3x3stream21-ifn9-06mac,Conv3x3stream21,06,,0.0,0.308314,0.0,0.591186,0.0,0.0496461,0.0,0.0,0.949146
Conv4x4-tcn16-18mac,Conv4x4,18,,0.0,0.196048,0.0,0.229645,0.0,0.0453229,0.0,0.0,0.471016
Conv4x4stream28-tcn16-06mac,Conv4x4stream28,06,,0.0,0.805067,0.0,0.54091,0.0,0.0286499,0.0,0.0,1.37463
