Project,side,time_ns,Cell Count,Cell Area um^2,Net Area um^2,Total Area um^2,Flop Count,memory,register,latch,logic,bbox,clock,pad,pm,Subtotal,nome,size,energy
IFk9-06m032p,32,200370000,16811,19885.824,8653.63,28539.454,,0.0,0.584783,0.0,1.57561,0.0,0.0501262,0.0,0.0,2.21052,IFk9-06,1024,442921.89239999995
IFk9-06m032p-csa,32,200370000,16840,20793.654,8816.494,29610.148,,0.0,0.591422,0.0,1.63671,0.0,0.0501025,0.0,0.0,2.27824,IFk9-06-csa,1024,456490.94879999995
IFn9-02m032p,32,225750000,10817,14022.414,5242.928,19265.342,,0.0,0.635986,0.0,1.13249,0.0,0.0494186,0.0,0.0,1.8179,IFn9-02,1024,410390.925
IFn9-03m032p,32,200910000,14152,16624.692,7310.414,23935.106,,0.0,0.609481,0.0,1.39489,0.0,0.0574339,0.0,0.0,2.0618,IFn9-03,1024,414236.238
IFn9-04m032p,32,200640000,11709,15313.536,5805.357,21118.893,,0.0,0.607628,0.0,1.20576,0.0,0.0461657,0.0,0.0,1.85955,IFn9-04,1024,373100.112
IFn9-06m032p,32,200370000,15710,18077.472,8047.685,26125.157,,0.0,0.582317,0.0,1.44462,0.0,0.0500944,0.0,0.0,2.07703,IFn9-06,1024,416174.50110000005
IFn9-06m032p-csa,32,200370000,15601,18097.254,8040.48,26137.734,,0.0,0.585438,0.0,1.45419,0.0,0.0500868,0.0,0.0,2.08972,IFn9-06-csa,1024,418717.19639999996
IFn9-09m032p,32,200190000,17144,19656.504,8721.997,28378.501,,0.0,0.574828,0.0,1.51065,0.0,0.0548157,0.0,0.0,2.1403,IFn9-09,1024,428466.657
IFn9-12m032p,32,200100000,16249,20252.484,8345.891,28598.375,,0.0,0.573937,0.0,1.51872,0.0,0.0429121,0.0,0.0,2.13557,IFn9-12,1024,427327.557
IFn9-18m032p,32,200010000,19096,23658.138,9865.747,33523.885,,0.0,0.564627,0.0,1.70628,0.0,0.0425003,0.0,0.0,2.31341,IFn9-18,1024,462705.1341
TCk9-05m032p,32,199290000,17743,23324.742,9331.823,32656.565,,0.0,0.49057,0.0,1.80912,0.0,0.0478753,0.0,0.0,2.34756,TCk9-05,1024,467845.23240000004
TCk9-05m032p-csa,32,125340000,15710,18077.472,8047.685,26125.157,,0.0,0.585438,0.0,1.45419,0.0,0.0500868,0.0,0.0,2.08972,TCk9-05-csa,1024,261925.5048
TCn9-05m032p,32,199290000,15148,18571.518,7880.695,26452.213,,0.0,0.476582,0.0,1.42798,0.0,0.0478682,0.0,0.0,1.95243,TCn9-05,1024,389099.77470000007
TCn9-05m032p-csa,32,199290000,15305,18721.206,7959.811,26681.017,,0.0,0.478693,0.0,1.41067,0.0,0.0478786,0.0,0.0,1.93724,TCn9-05-csa,1024,386072.55960000004
