Project,nome,multip,side,time_ns,Cell Count,Cell Area um^2,Net Area um^2,Total Area um^2,Flop Count,memory,register,latch,logic,bbox,clock,pad,pm,Subtotal,size,energy
IFk9-06m032p,IFk9-06,6,32,200370000,16811,19885.824,8653.63,28539.454,,0.0,0.584783,0.0,1.57561,0.0,0.0501262,0.0,0.0,2.21052,1024,442921.89239999995
IFk9-06m032p-csa,IFk9-06-csa,6,32,200370000,16840,20793.654,8816.494,29610.148,,0.0,0.591422,0.0,1.63671,0.0,0.0501025,0.0,0.0,2.27824,1024,456490.94879999995
IFn9-02m032p,IFn9-02,2,32,198740,10817,14022.414,5242.928,19265.342,,0.0,0.635986,0.0,1.13249,0.0,0.0494186,0.0,0.0,1.8179,1024,361.289446
IFn9-03m032p,IFn9-03,3,32,200910000,14152,16624.692,7310.414,23935.106,,0.0,0.609481,0.0,1.39489,0.0,0.0574339,0.0,0.0,2.0618,1024,414236.238
IFn9-04m032p,IFn9-04,4,32,200640000,11709,15313.536,5805.357,21118.893,,0.0,0.607628,0.0,1.20576,0.0,0.0461657,0.0,0.0,1.85955,1024,373100.112
IFn9-06m032p,IFn9-06,6,32,173360,15710,18077.472,8047.685,26125.157,,0.0,0.582317,0.0,1.44462,0.0,0.0500944,0.0,0.0,2.07703,1024,360.0739208
IFn9-06m032p-csa,IFn9-06-csa,6,32,200370000,15601,18097.254,8040.48,26137.734,,0.0,0.585438,0.0,1.45419,0.0,0.0500868,0.0,0.0,2.08972,1024,418717.19639999996
IFn9-06m032p-lut,IFn9-06-lut,6,32,200370000,15983,18157.23,8201.72,26358.95,,0.0,0.581888,0.0,1.46962,0.0,0.0501038,0.0,0.0,2.10161,1024,421099.5957
IFn9-06m064p,IFn9-06,6,64,849030000,15788,18172.098,8081.681,26253.779,,0.0,0.581456,0.0,1.4462,0.0,0.0502744,0.0,0.0,2.07793,4096,1764224.9078999998
IFn9-06m128p,IFn9-06,6,128,3367610000,15872,18239.256,8115.023,26354.279,,0.0,0.578269,0.0,1.41178,0.0,0.0503305,0.0,0.0,2.04038,16384,6871204.0918
IFn9-06m256p,IFn9-06,6,256,13705350000,15913,18307.296,8135.262,26442.558,,0.0,0.588616,0.0,1.42831,0.0,0.0503266,0.0,0.0,2.06726,65536,28332521.841
IFn9-09m032p,IFn9-09,9,32,200190000,17144,19656.504,8721.997,28378.501,,0.0,0.574828,0.0,1.51065,0.0,0.0548157,0.0,0.0,2.1403,1024,428466.657
IFn9-12m032p,IFn9-12,12,32,200100000,16249,20252.484,8345.891,28598.375,,0.0,0.573937,0.0,1.51872,0.0,0.0429121,0.0,0.0,2.13557,1024,427327.557
IFn9-18m032p,IFn9-18,18,32,200010000,19096,23658.138,9865.747,33523.885,,0.0,0.564627,0.0,1.70628,0.0,0.0425003,0.0,0.0,2.31341,1024,462705.1341
TCk9-05m032p,TCk9-05,5,32,199290000,17743,23324.742,9331.823,32656.565,,0.0,0.49057,0.0,1.80912,0.0,0.0478753,0.0,0.0,2.34756,1024,467845.23240000004
TCk9-05m032p-csa,TCk9-05-csa,5,32,125340000,15710,18077.472,8047.685,26125.157,,0.0,0.585438,0.0,1.45419,0.0,0.0500868,0.0,0.0,2.08972,1024,261925.5048
TCn9-05m032p,TCn9-05,5,32,199290000,15148,18571.518,7880.695,26452.213,,0.0,0.476582,0.0,1.42798,0.0,0.0478682,0.0,0.0,1.95243,1024,389099.77470000007
TCn9-05m032p-csa,TCn9-05-csa,5,32,199290000,15305,18721.206,7959.811,26681.017,,0.0,0.478693,0.0,1.41067,0.0,0.0478786,0.0,0.0,1.93724,1024,386072.55960000004
WMn4-02m032p,WMn4-02,2,32,260350000,5965,7610.022,2932.674,10542.696,,0.0,0.355054,0.0,0.755053,0.0,0.028729,0.0,0.0,1.13884,1024,296496.994
WMn4-04m032p,WMn4-04,4,32,234790000,7091,8866.116,3551.801,12417.917,,0.0,0.336734,0.0,0.86358,0.0,0.0273313,0.0,0.0,1.22765,1024,288239.9435
WMn4-08m032p,WMn4-08,8,32,234610000,9103,11220.552,4673.21,15893.762,,0.0,0.328543,0.0,1.00731,0.0,0.0257561,0.0,0.0,1.36161,1024,319447.32210000005
