project,side,time/ns
IFk9-06m032p,32,200370000
IFk9-06m032p-csa,32,200370000
IFn9-02m032p,32,225750000
IFn9-03m032p,32,200910000
IFn9-04m032p,32,200640000
IFn9-06m032p,32,200370000
IFn9-06m032p-csa,32,200370000
IFn9-06m064p,64,849030000
IFn9-06m128p,128,3367610000
IFn9-06m256p,256,13705350000
IFn9-09m032p,32,200190000
IFn9-12m032p,32,200100000
IFn9-18m032p,32,200010000
TCk9-05m032p,32,199290000
TCk9-05m032p-csa,32,125340000
TCn9-05m032p,32,199290000
TCn9-05m032p-csa,32,199290000
WMn4-02m032p,32,260350000
WMn4-04m032p,32,234790000
WMn4-08m032p,32,234610000
