,Cell Count,Cell Area $\mu m^2$,Net Area $\mu m^2$,Total Area $\mu m^2$,Flop Count
IFk9-06m032p,16811,19885.824,8653.630,28539.454,
IFk9-06m032p-csa,16840,20793.654,8816.494,29610.148,
IFn9-02m032p,15710,18077.472,8047.685,26125.157,
IFn9-04m032p,11709,15313.536,5805.357,21118.893,
IFn9-06m032p,15710,18077.472,8047.685,26125.157,
IFn9-06m032p-csa,15601,18097.254,8040.480,26137.734,
IFn9-06m064p,15788,18172.098,8081.681,26253.779,
IFn9-06m128p,15872,18239.256,8115.023,26354.279,
IFn9-06m256p,15913,18307.296,8135.262,26442.558,
IFn9-09m032p,17144,19656.504,8721.997,28378.501,
IFn9-12m032p,16249,20252.484,8345.891,28598.375,
IFn9-18m032p,19096,23658.138,9865.747,33523.885,
TCk9-05m032p,17743,23324.742,9331.823,32656.565,
TCk9-05m032p-csa,15710,18077.472,8047.685,26125.157,
TCn9-05m032p,15148,18571.518,7880.695,26452.213,
TCn9-05m032p-csa,15305,18721.206,7959.811,26681.017,
WMn4-02m,5965,7610.022,2932.674,10542.696,
WMn4-04m,7091,8866.116,3551.801,12417.917,
WMn4-08m,9103,11220.552,4673.210,15893.762,
