Project,nome,extra,mult,cycles,energy_nj,baseline_factor,energy_baseline_eq,energy_increase_pct
IFn9-02m032p,IFn9,,2.0,19874,361.289446,1.7538995672738251,279.71520944029385,-22.57863811491082
IFn9-03m032p,IFn9,,3.0,17390,358.54702,2.0044278320874067,319.66992940864867,-10.842954598075117
IFn9-04m032p,IFn9,,4.0,17363,322.8736665,2.0075447791280308,320.16702599875595,-0.8382970746993598
IFn9-06m032p-bus,IFn9,bus,6.0,8483,255.7107037,4.109041612637038,655.317702748603,156.27308253682733
IFn9-06m032p,IFn9,,6.0,17336,360.0739208,2.010671435163821,320.6656709977157,-10.944488763509549
IFn9-09m032p-bus,IFn9,bus,9.0,7574,252.2384368,4.602191708476367,733.9662097196198,190.9811125659576
IFn9-09m032p,IFn9,,9.0,17318,370.657154,2.012761288832429,320.9989648005774,-13.397337313884023
IFn9-12m032p-bus,IFn9,bus,12.0,6674,218.790405,5.222804914593946,832.9427738112676,280.7035202532157
IFn9-12m032p,IFn9,,12.0,17309,369.6458113,2.0138078456294415,321.1658716515339,-13.115241175861822
IFn9-18m032p-bus,IFn9,bus,18.0,6363,219.5126829,5.478076379066478,873.6539482031118,297.99702534778316
IFn9-18m032p,IFn9,,18.0,17300,400.21993,2.0148554913294796,321.33295216279765,-19.71090690990884
TCn16-06m032p-bus,TCn16,bus,6.0,7152,261.5429184,4.873741610738255,777.2735000582215,197.18774448691843
TCn16-06m032p,TCn16,,6.0,18375,465.824625,1.8969795918367347,302.533881492049,-35.05412439455107
TCn16-09m032p-bus,TCn16,bus,9.0,6672,259.9684752,5.224370503597123,833.1924568969424,220.4974973430711
TCn16-09m032p,TCn16,,9.0,18357,485.1002463,1.8988396796862232,302.830531808923,-37.57361821217384
TCn16-12m032p-bus,TCn16,bus,12.0,6432,245.5518912,5.419309701492537,864.281727676679,251.97518677334423
TCn16-12m032p,TCn16,,12.0,18348,482.7505584,1.8997710922171354,302.9790752352518,-37.23900056388794
TCn16-18m032p-bus,TCn16,bus,18.0,6363,259.6014918,5.478076379066478,873.6539482031118,236.53656693012567
TCn16-18m032p,TCn16,,18.0,17300,400.21993,2.0148554913294796,321.33295216279765,-19.71090690990884
TCn9-05m032p-bus,TCn9,bus,5.0,7484,222.0936872,4.65753607696419,742.7926339412613,234.45013377276277
TCn9-05m032p,TCn9,,5.0,17228,336.36464040000004,2.0232760622242862,322.6758806835617,-4.069619119346163
WMn4-02m032p,WMn4,,2.0,23334,265.7369256,1.4938287477500642,238.2386248571355,-10.347941175573117
WMn4-04m032p-bus,WMn4,bus,4.0,10318,193.539885,3.3782709827485946,538.7730250452025,178.3782914024169
WMn4-04m032p,WMn4,,4.0,20778,255.081117,1.6775916835114062,267.5454842822408,4.886432766499451
WMn4-08m032p-bus,WMn4,bus,8.0,10318,193.539885,3.3782709827485946,538.7730250452025,178.3782914024169
WMn4-08m032p,WMn4,,8.0,20760,282.670236,1.6790462427745665,267.77746013566474,-5.268604178168673
WPn16-08m032p-bus,WPn16,bus,8.0,7884,332.8175412,4.421232876712328,705.1065540863012,111.85979306979546
WPn16-08m032p,WPn16,,8.0,20760,611.29896,1.6790462427745665,267.77746013566474,-56.195335235697975
