Project,nome,mult,side,extra,time_ns,cycles,nome_x,mult_x,extra_x,nome_y,mult_y,extra_y,Cell Count,Cell Area um^2,Net Area um^2,Total Area um^2,Flop Count,memory,register,latch,logic,bbox,clock,pad,pm,Subtotal,size,energy_nj
IFn9-02m032p,IFn9,02,32,,198740.0,19874,IFn9,2.0,,IFn9,2.0,,10817,14022.414,5242.928,19265.342,2471,0.0,0.635986,0.0,1.13249,0.0,0.0494186,0.0,0.0,1.8179,1024,361.289446
IFn9-03m032p,IFn9,03,32,,173900.0,17390,IFn9,3.0,,IFn9,3.0,,14152,16624.692,7310.414,23935.106,2470,0.0,0.609481,0.0,1.39489,0.0,0.0574339,0.0,0.0,2.0618,1024,358.54702
IFn9-04m032p,IFn9,04,32,,173630.0,17363,IFn9,4.0,,IFn9,4.0,,11709,15313.536,5805.357,21118.893,2469,0.0,0.607628,0.0,1.20576,0.0,0.0461657,0.0,0.0,1.85955,1024,322.8736665
IFn9-06m032p,IFn9,06,32,,173360.0,17336,IFn9,6.0,,IFn9,6.0,,15710,18077.472,8047.685,26125.157,2469,0.0,0.582317,0.0,1.44462,0.0,0.0500944,0.0,0.0,2.07703,1024,360.0739208
IFn9-06m032p-bus,IFn9,06,32,bus,84830.0,8483,IFn9,6.0,bus,IFn9,6.0,bus,17975,19502.028,9439.883,28941.911,2438,0.0,0.674919,0.0,2.2884,0.0,0.0510706,0.0,0.0,3.01439,1024,255.7107037
IFn9-09m032p,IFn9,09,32,,173180.0,17318,IFn9,9.0,,IFn9,9.0,,17144,19656.504,8721.997,28378.501,2468,0.0,0.574828,0.0,1.51065,0.0,0.0548157,0.0,0.0,2.1403,1024,370.657154
IFn9-09m032p-bus,IFn9,09,32,bus,75740.0,7574,IFn9,9.0,bus,IFn9,9.0,bus,19411,21071.232,10114.828,31186.06,2437,0.0,0.706007,0.0,2.56527,0.0,0.0590439,0.0,0.0,3.33032,1024,252.2384368
IFn9-12m032p,IFn9,12,32,,173090.0,17309,IFn9,12.0,,IFn9,12.0,,16249,20252.484,8345.891,28598.375,2467,0.0,0.573937,0.0,1.51872,0.0,0.0429121,0.0,0.0,2.13557,1024,369.6458113
IFn9-12m032p-bus,IFn9,12,32,bus,66740.0,6674,IFn9,12.0,bus,IFn9,12.0,bus,18513,21665.952,9736.743,31402.695,2436,0.0,0.698561,0.0,2.53429,0.0,0.0454007,0.0,0.0,3.27825,1024,218.790405
IFn9-18m032p,IFn9,18,32,,173000.0,17300,IFn9,18.0,,IFn9,18.0,,19096,23658.138,9865.747,33523.885,2466,0.0,0.564627,0.0,1.70628,0.0,0.0425003,0.0,0.0,2.31341,1024,400.21993000000003
IFn9-18m032p-bus,IFn9,18,32,bus,63630.0,6363,IFn9,18.0,bus,IFn9,18.0,bus,21362,25079.922,11257.874,36337.796,2435,0.0,0.68721,0.0,2.71725,0.0,0.0453688,0.0,0.0,3.44983,1024,219.5126829
NAive,naive,,32,,348560.0,34857,naive,,,naive,,,3277,4327.722,1382.903,5710.625,802,0.0,0.203985,0.0,0.25356,0.0,0.0,0.0,0.0,0.457545,1024,159.4818852
TCn16-06m032p,TCn16,06,32,,183750.0,18375,TCn16,6.0,,TCn16,6.0,,21402,28501.956,11383.281,39885.237,2949,0.0,0.645571,0.0,1.83454,0.0,0.0549956,0.0,0.0,2.5351,1024,465.824625
TCn16-06m032p-bus,TCn16,06,32,bus,71520.0,7152,TCn16,6.0,bus,TCn16,6.0,bus,24066,30369.528,13058.161,43427.689,2919,0.0,0.755595,0.0,2.85138,0.0,0.049945,0.0,0.0,3.65692,1024,261.5429184
TCn16-09m032p,TCn16,09,32,,183570.0,18357,TCn16,9.0,,TCn16,9.0,,22502,29933.442,11867.092,41800.534,2948,0.0,0.642027,0.0,1.94064,0.0,0.0599187,0.0,0.0,2.64259,1024,485.10024630000004
TCn16-09m032p-bus,TCn16,09,32,bus,66720.0,6672,TCn16,9.0,bus,TCn16,9.0,bus,25367,31895.136,13640.35,45535.486,2918,0.0,0.755899,0.0,3.08306,0.0,0.0574571,0.0,0.0,3.89641,1024,259.9684752
TCn16-12m032p,TCn16,12,32,,183480.0,18348,TCn16,12.0,,TCn16,12.0,,21571,30330.342,11375.358,41705.7,2947,0.0,0.640524,0.0,1.94244,0.0,0.0481111,0.0,0.0,2.63108,1024,482.7505584
TCn16-12m032p-bus,TCn16,12,32,bus,64320.0,6432,TCn16,12.0,bus,TCn16,12.0,bus,24313,32253.606,13112.065,45365.671,2917,0.0,0.75894,0.0,3.0155,0.0,0.0432148,0.0,0.0,3.81766,1024,245.5518912
TCn16-18m032p,TCn16,18,32,,173000.0,17300,TCn16,18.0,,TCn16,18.0,,24546,33788.664,12984.446,46773.11,2946,0.0,0.564627,0.0,1.70628,0.0,0.0425003,0.0,0.0,2.31341,1024,400.21993000000003
TCn16-18m032p-bus,TCn16,18,32,bus,63630.0,6363,TCn16,18.0,bus,TCn16,18.0,bus,27216,35671.23,14661.215,50332.445,2916,0.0,0.748365,0.0,3.28854,0.0,0.0429501,0.0,0.0,4.07986,1024,259.60149179999996
TCn9-05m032p,TCn9,05,32,,172280.0,17228,TCn9,5.0,,TCn9,5.0,,15148,18571.518,7880.695,26452.213,2026,0.0,0.476582,0.0,1.42798,0.0,0.0478682,0.0,0.0,1.95243,1024,336.36464040000004
