Project,nome,mult,extra,memory,register,latch,logic,bbox,clock,pad,pm,Subtotal
IFn9-02m032p,IFn9,02,,0.0,0.635986,0.0,1.13249,0.0,0.0494186,0.0,0.0,1.8179
IFn9-02m032p-bus,IFn9,02,bus,0.0,0.619874,0.0,1.26032,0.0,0.0451808,0.0,0.0,1.92538
IFn9-03m032p,IFn9,03,,0.0,0.609481,0.0,1.39489,0.0,0.0574339,0.0,0.0,2.0618
IFn9-03m032p-bus,IFn9,03,bus,0.0,0.619599,0.0,1.66756,0.0,0.0544055,0.0,0.0,2.34156
IFn9-04m032p,IFn9,04,,0.0,0.607628,0.0,1.20576,0.0,0.0461657,0.0,0.0,1.85955
IFn9-04m032p-bus,IFn9,04,bus,0.0,0.647292,0.0,1.60165,0.0,0.0440125,0.0,0.0,2.29295
IFn9-06m032p,IFn9,06,,0.0,0.582317,0.0,1.44462,0.0,0.0500944,0.0,0.0,2.07703
IFn9-06m032p-bus,IFn9,06,bus,0.0,0.674919,0.0,2.2884,0.0,0.0510706,0.0,0.0,3.01439
IFn9-09m032p,IFn9,09,,0.0,0.574828,0.0,1.51065,0.0,0.0548157,0.0,0.0,2.1403
IFn9-09m032p-bus,IFn9,09,bus,0.0,0.706007,0.0,2.56527,0.0,0.0590439,0.0,0.0,3.33032
IFn9-12m032p,IFn9,12,,0.0,0.573937,0.0,1.51872,0.0,0.0429121,0.0,0.0,2.13557
IFn9-12m032p-bus,IFn9,12,bus,0.0,0.698561,0.0,2.53429,0.0,0.0454007,0.0,0.0,3.27825
IFn9-18m032p,IFn9,18,,0.0,0.564627,0.0,1.70628,0.0,0.0425003,0.0,0.0,2.31341
IFn9-18m032p-bus,IFn9,18,bus,0.0,0.68721,0.0,2.71725,0.0,0.0453688,0.0,0.0,3.44983
NAive,naive,,,0.0,0.203985,0.0,0.25356,0.0,0.0,0.0,0.0,0.457545
TCn16-02m032p,TCn16,02,,0.0,0.664024,0.0,1.70994,0.0,0.0512636,0.0,0.0,2.42523
TCn16-02m032p-bus,TCn16,02,bus,0.0,0.732617,0.0,2.1904,0.0,0.0460476,0.0,0.0,2.96907
TCn16-03m032p,TCn16,03,,0.0,0.664024,0.0,1.70994,0.0,0.0512636,0.0,0.0,2.42523
TCn16-03m032p-bus,TCn16,03,bus,0.0,0.731617,0.0,2.62564,0.0,0.0557858,0.0,0.0,3.41305
TCn16-04m032p,TCn16,04,,0.0,0.664024,0.0,1.70994,0.0,0.0512636,0.0,0.0,2.42523
TCn16-04m032p-bus,TCn16,04,bus,0.0,0.775391,0.0,2.70911,0.0,0.0450855,0.0,0.0,3.52958
TCn16-06m032p,TCn16,06,,0.0,0.645571,0.0,1.83454,0.0,0.0549956,0.0,0.0,2.5351
TCn16-06m032p-bus,TCn16,06,bus,0.0,0.755595,0.0,2.85138,0.0,0.049945,0.0,0.0,3.65692
TCn16-09m032p,TCn16,09,,0.0,0.642027,0.0,1.94064,0.0,0.0599187,0.0,0.0,2.64259
TCn16-09m032p-bus,TCn16,09,bus,0.0,0.755899,0.0,3.08306,0.0,0.0574571,0.0,0.0,3.89641
TCn16-12m032p,TCn16,12,,0.0,0.640524,0.0,1.94244,0.0,0.0481111,0.0,0.0,2.63108
TCn16-12m032p-bus,TCn16,12,bus,0.0,0.75894,0.0,3.0155,0.0,0.0432148,0.0,0.0,3.81766
TCn16-18m032p,TCn16,18,,0.0,0.564627,0.0,1.70628,0.0,0.0425003,0.0,0.0,2.31341
TCn16-18m032p-bus,TCn16,18,bus,0.0,0.748365,0.0,3.28854,0.0,0.0429501,0.0,0.0,4.07986
TCn9-05m032p,TCn9,05,,0.0,0.476582,0.0,1.42798,0.0,0.0478682,0.0,0.0,1.95243
TCn9-05m032p-bus,TCn9,05,bus,0.0,0.574108,0.0,2.34373,0.0,0.0497412,0.0,0.0,2.96758
WMn4-02m032p,WMn4,02,,0.0,0.355054,0.0,0.755053,0.0,0.028729,0.0,0.0,1.13884
WMn4-02m032p-bus,WMn4,02,bus,0.0,0.34248,0.0,0.767945,0.0,0.0222977,0.0,0.0,1.13272
WMn4-04m032p,WMn4,04,,0.0,0.336734,0.0,0.86358,0.0,0.0273313,0.0,0.0,1.22765
WMn4-04m032p-bus,WMn4,04,bus,0.0,0.393845,0.0,1.45857,0.0,0.0233336,0.0,0.0,1.87575
WMn4-08m032p,WMn4,08,,0.0,0.328543,0.0,1.00731,0.0,0.0257561,0.0,0.0,1.36161
WMn4-08m032p-bus,WMn4,08,bus,0.0,0.393845,0.0,1.45857,0.0,0.0233336,0.0,0.0,1.87575
WPn16-04m032p,WPn16,04,,0.0,0.903855,0.0,1.97788,0.0,0.0628633,0.0,0.0,2.9446
WPn16-04m032p-bus,WPn16,04,bus,0.0,1.04454,0.0,2.66754,0.0,0.0576488,0.0,0.0,3.76974
WPn16-08m032p,WPn16,08,,0.0,0.903855,0.0,1.97788,0.0,0.0628633,0.0,0.0,2.9446
WPn16-08m032p-bus,WPn16,08,bus,0.0,1.06685,0.0,3.09671,0.0,0.0578676,0.0,0.0,4.22143
WPn16-32m032p,WPn16,32,,0.0,0.862284,0.0,2.91474,0.0,0.0597138,0.0,0.0,3.83674
WPn16-32m032p-bus,WPn16,32,bus,0.0,1.00744,0.0,4.22454,0.0,0.0563383,0.0,0.0,5.28832
