project,nome,mult,side,extra,time/ns,cycles
IFn9-02m032p,IFn9,02,32,,198740.0,19874
IFn9-02m032p-bus,IFn9,02,32,bus,201740.0,20174
IFn9-03m032p,IFn9,03,32,,173900.0,17390
IFn9-03m032p-bus,IFn9,03,32,bus,147740.0,14774
IFn9-04m032p,IFn9,04,32,,173630.0,17363
IFn9-04m032p-bus,IFn9,04,32,bus,120740.0,12074
IFn9-06m032p,IFn9,06,32,,173360.0,17336
IFn9-06m032p-bus,IFn9,06,32,bus,84830.0,8483
IFn9-09m032p,IFn9,09,32,,173180.0,17318
IFn9-09m032p-bus,IFn9,09,32,bus,75740.0,7574
IFn9-12m032p,IFn9,12,32,,173090.0,17309
IFn9-12m032p-bus,IFn9,12,32,bus,66740.0,6674
IFn9-18m032p,IFn9,18,32,,173000.0,17300
IFn9-18m032p-bus,IFn9,18,32,bus,63630.0,6363
NAive,naive,,32,,348560.0,34857
TCn16-02m032p,TCn16,02,32,,184020.0,18402
TCn16-02m032p-bus,TCn16,02,32,bus,130560.0,13056
TCn16-03m032p,TCn16,03,32,,184020.0,18402
TCn16-03m032p-bus,TCn16,03,32,bus,96000.0,9600
TCn16-04m032p,TCn16,04,32,,184020.0,18402
TCn16-04m032p-bus,TCn16,04,32,bus,78720.0,7872
TCn16-06m032p,TCn16,06,32,,183750.0,18375
TCn16-06m032p-bus,TCn16,06,32,bus,71520.0,7152
TCn16-09m032p,TCn16,09,32,,183570.0,18357
TCn16-09m032p-bus,TCn16,09,32,bus,66720.0,6672
TCn16-12m032p,TCn16,12,32,,183480.0,18348
TCn16-12m032p-bus,TCn16,12,32,bus,64320.0,6432
TCn16-18m032p,TCn16,18,32,,173000.0,17300
TCn16-18m032p-bus,TCn16,18,32,bus,63630.0,6363
TCn9-05m032p,TCn9,05,32,,172280.0,17228
TCn9-05m032p-bus,TCn9,05,32,bus,74840.0,7484
WMn4-02m032p,WMn4,02,32,,233340.0,23334
WMn4-02m032p-bus,WMn4,02,32,bus,244840.0,24484
WMn4-04m032p,WMn4,04,32,,207780.0,20778
WMn4-04m032p-bus,WMn4,04,32,bus,103180.0,10318
WMn4-08m032p,WMn4,08,32,,207600.0,20760
WMn4-08m032p-bus,WMn4,08,32,bus,103180.0,10318
WPn16-08m032p,WPn16,08,32,,207600.0,20760
WPn16-08m032p-bus,WPn16,08,32,bus,78840.0,7884
