Project,view,data_path_ps,required_time_ps,slack_ps,reported_margin_ps
Conv2x2-conv-all-i16-h16-t0-o4-m16,analysis_view_0p81v_125c_capwst_slowest,1975.0,1975.0,0.0,0.0
Conv2x2-conv-std-i16-h16-t16-o4-m4,analysis_view_0p81v_125c_capwst_slowest,994.0,1000.0,6.0,6.0
Conv2x2-conv-stream12-generic-i16-h16-t8-o4-m2-4-8,analysis_view_0p81v_125c_capwst_slowest,1970.0,1972.0,2.0,2.0
Conv2x2-conv-stream12-i16-h16-t8-o4-m4,analysis_view_0p81v_125c_capwst_slowest,1966.0,1971.0,5.0,5.0
Conv2x2-conv-stream12-i16-h16-t8-o4-m8,analysis_view_0p81v_125c_capwst_slowest,1971.0,1971.0,0.0,0.0
Conv2x2-conv-stream12-i20-h16-t8-o4-m4-prefetch4,analysis_view_0p81v_125c_capwst_slowest,1968.0,1971.0,3.0,3.0
Conv2x2-conv-stream4-i16-h16-t0-o4-m4,analysis_view_0p81v_125c_capwst_slowest,1996.0,1996.0,0.0,0.0
Conv2x2-conv-stream4-i16-h16-t0-o4-m8,analysis_view_0p81v_125c_capwst_slowest,1976.0,1976.0,0.0,0.0
Conv2x2-conv-stream4-i16-h16-t4-o4-m4,analysis_view_0p81v_125c_capwst_slowest,999.0,1000.0,1.0,1.0
Conv3x3-ifn9-06mac,analysis_view_0p81v_125c_capwst_slowest,1000.0,1000.0,0.0,0.0
Conv3x3stream-if-ifn9-06mac,analysis_view_0p81v_125c_capwst_slowest,998.0,1000.0,2.0,2.0
Conv3x3stream-if-ifn9-12mac,analysis_view_0p81v_125c_capwst_slowest,1000.0,1000.0,0.0,0.0
Conv3x3stream-if-ifn9-18mac,analysis_view_0p81v_125c_capwst_slowest,1992.0,1992.0,0.0,0.0
Conv3x3stream-tc-tcn9-05mac,analysis_view_0p81v_125c_capwst_slowest,1000.0,1000.0,0.0,0.0
Conv3x3stream21-ifn9-06mac,analysis_view_0p81v_125c_capwst_slowest,1000.0,1000.0,0.0,0.0
Conv4x4-tcn16-18mac,analysis_view_0p81v_125c_capwst_slowest,1000.0,1000.0,0.0,0.0
Conv4x4stream28-tcn16-06mac,analysis_view_0p81v_125c_capwst_slowest,997.0,1000.0,3.0,3.0
