design,bits,target_mhz,achieved_mhz,timing,wns_ns,tns_ns,dsp,lut,ff,bram,latency_cycles,ii_cycles,tile_ii_cycles,gops_eq,dynamic_w,total_w,dynamic_energy_uj,gops_per_w,pj_per_op,dynamic_gops_per_w,dynamic_pj_per_op
Our Conv baseline @ 317 MHz,20,317.0,317.0,PASS,0.221,0.0,8.0,2087.0,1266.0,0.0,23648,NA,11,1.9544401217861977,0.21,0.803,15.665867507886436,2.433922941203235,410.8593509972176,9.306857722791419,107.44765094572314
"WinoGen F(4,3) PNmin",8-16,NA,NA,REFERENCE,NA,NA,6,2441,3587,NA,NA,NA,NA,9.883,NA,NA,NA,NA,NA,NA,NA
"WinoGen F(4,3) constrained",8-16,NA,NA,REFERENCE,NA,NA,48,8267,11678,NA,NA,NA,NA,123.824,NA,NA,NA,NA,NA,NA,NA
"WinoGen F(4,3) PNmax",8-16,NA,NA,REFERENCE,NA,NA,144,17472,18476,NA,NA,NA,NA,371.472,NA,NA,NA,NA,NA,NA,NA
"WinoGen F(6,3) PNmin",8-16,NA,NA,REFERENCE,NA,NA,8,3757,5703,NA,NA,NA,NA,12.508,NA,NA,NA,NA,NA,NA,NA
"WinoGen F(6,3) constrained",8-16,NA,NA,REFERENCE,NA,NA,128,31899,25307,NA,NA,NA,NA,412.02,NA,NA,NA,NA,NA,NA,NA
"WinoGen F(6,3) PNmax",8-16,NA,NA,REFERENCE,NA,NA,256,41093,40238,NA,NA,NA,NA,835.812,NA,NA,NA,NA,NA,NA,NA
"WinoGen F(4,1) PNmin, F(2,3)*",8-16,NA,NA,REFERENCE,NA,NA,4,1689,2191,NA,NA,NA,NA,5.559,NA,NA,NA,NA,NA,NA,NA
"WinoGen F(4,1) constrained, F(2,3)*",8-16,NA,NA,REFERENCE,NA,NA,16,2267,2901,NA,NA,NA,NA,22.236,NA,NA,NA,NA,NA,NA,NA
"WinoGen F(4,1) PNmax, F(2,3)*",8-16,NA,NA,REFERENCE,NA,NA,64,4858,7579,NA,NA,NA,NA,92.868,NA,NA,NA,NA,NA,NA,NA
