Project,instance,module,cell_count,cell_area_um2,net_area_um2,total_area_um2,area_percent
Conv2x2-conv-i16-h16-t00-o4-m08-stream00,Conv,Conv,11818,11700.99,5154.615,16855.605,100.0
Conv2x2-conv-i16-h16-t00-o4-m08-stream00,inverse_row_acc,InverseRowAccumulate,238,265.608,59.014,324.622,1.926
Conv2x2-conv-i16-h16-t00-o4-m08-stream00,inverse_row_acc_second,InverseRowAccumulate_207,161,190.26,44.642,234.902,1.394
Conv2x2-conv-i16-h16-t00-o4-m08-stream00,inverse_row_current,InverseRow,121,175.896,39.034,214.93,1.275
Conv2x2-conv-i16-h16-t00-o4-m08-stream00,inverse_row_current_2,InverseRow_206,97,169.848,33.045,202.893,1.204
Conv2x2-conv-i16-h16-t00-o4-m08-stream00,multip0,Multip,726,686.448,286.285,972.733,5.771
Conv2x2-conv-i16-h16-t00-o4-m08-stream00,multip1,Multip_214,747,697.032,293.4,990.432,5.876
Conv2x2-conv-i16-h16-t00-o4-m08-stream00,multip2,Multip_213,746,700.434,293.148,993.582,5.895
Conv2x2-conv-i16-h16-t00-o4-m08-stream00,multip3,Multip_212,719,681.408,284.662,966.07,5.731
Conv2x2-conv-i16-h16-t00-o4-m08-stream00,multip4,Multip_211,602,634.788,249.877,884.665,5.248
Conv2x2-conv-i16-h16-t00-o4-m08-stream00,multip5,Multip_210,603,635.544,250.259,885.803,5.255
Conv2x2-conv-i16-h16-t00-o4-m08-stream00,multip6,Multip_209,610,636.174,252.238,888.412,5.271
Conv2x2-conv-i16-h16-t00-o4-m08-stream00,multip7,Multip_208,603,635.544,250.259,885.803,5.255
Conv2x2-conv-i16-h16-t00-o4-m08-stream00,trf,Transform,3175,2050.65,1045.961,3096.611,18.371
Conv2x2-conv-i16-h16-t00-o4-m08-stream00,matrix_c0,MatrixC0,1592,1058.526,427.914,1486.44,8.819
Conv2x2-conv-i16-h16-t00-o4-m08-stream00,matrix_c1,MatrixC1,1579,988.596,424.739,1413.335,8.385
Conv2x2-conv-i16-h16-t00-o4-m16-all,Conv,Conv,15200,16096.374,7033.262,23129.636,100.0
Conv2x2-conv-i16-h16-t00-o4-m16-all,MULTIP_BLOCK[0].multip,Multip,634,650.664,275.115,925.779,4.003
Conv2x2-conv-i16-h16-t00-o4-m16-all,MULTIP_BLOCK[1].multip,Multip_193,643,652.806,277.502,930.308,4.022
Conv2x2-conv-i16-h16-t00-o4-m16-all,MULTIP_BLOCK[2].multip,Multip_192,604,634.032,250.491,884.523,3.824
Conv2x2-conv-i16-h16-t00-o4-m16-all,MULTIP_BLOCK[3].multip,Multip_191,600,632.394,248.758,881.152,3.81
Conv2x2-conv-i16-h16-t00-o4-m16-all,MULTIP_BLOCK[4].multip,Multip_190,639,651.924,276.363,928.287,4.013
Conv2x2-conv-i16-h16-t00-o4-m16-all,MULTIP_BLOCK[5].multip,Multip_189,649,653.688,278.886,932.574,4.032
Conv2x2-conv-i16-h16-t00-o4-m16-all,MULTIP_BLOCK[6].multip,Multip_188,612,636.174,252.859,889.033,3.844
Conv2x2-conv-i16-h16-t00-o4-m16-all,MULTIP_BLOCK[7].multip,Multip_187,599,633.528,249.366,882.894,3.817
Conv2x2-conv-i16-h16-t00-o4-m16-all,MULTIP_BLOCK[8].multip,Multip_186,602,634.41,249.993,884.403,3.824
Conv2x2-conv-i16-h16-t00-o4-m16-all,MULTIP_BLOCK[9].multip,Multip_185,606,634.536,250.99,885.526,3.829
Conv2x2-conv-i16-h16-t00-o4-m16-all,MULTIP_BLOCK[10].multip,Multip_184,618,637.182,253.894,891.076,3.853
Conv2x2-conv-i16-h16-t00-o4-m16-all,MULTIP_BLOCK[11].multip,Multip_183,599,633.906,249.12,883.026,3.818
Conv2x2-conv-i16-h16-t00-o4-m16-all,MULTIP_BLOCK[12].multip,Multip_182,603,633.402,250.129,883.531,3.82
Conv2x2-conv-i16-h16-t00-o4-m16-all,MULTIP_BLOCK[13].multip,Multip_181,606,634.158,249.534,883.692,3.821
Conv2x2-conv-i16-h16-t00-o4-m16-all,MULTIP_BLOCK[14].multip,Multip_180,605,634.662,250.873,885.535,3.829
Conv2x2-conv-i16-h16-t00-o4-m16-all,MULTIP_BLOCK[15].multip,Multip_179,598,632.52,248.506,881.026,3.809
Conv2x2-conv-i16-h16-t00-o4-m16-all,inv,Inverse,583,1019.466,248.829,1268.295,5.483
Conv2x2-conv-i16-h16-t00-o4-m16-all,matrix_a0,MatrixA0,194,339.696,66.09,405.786,1.754
Conv2x2-conv-i16-h16-t00-o4-m16-all,matrix_a1,MatrixA1,389,679.77,132.302,812.072,3.511
Conv2x2-conv-i16-h16-t00-o4-m16-all,trf,Transform,2924,1830.528,961.852,2792.38,12.073
Conv2x2-conv-i16-h16-t00-o4-m16-all,matrix_c0,MatrixC0,1586,938.7,427.151,1365.851,5.905
Conv2x2-conv-i16-h16-t00-o4-m16-all,matrix_c1,MatrixC1,1338,891.828,358.5,1250.328,5.406
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,Conv,Conv,10254,11018.826,4641.563,15660.389,100.0
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,inverse_row_acc,InverseRowAccumulate,238,265.608,59.014,324.622,2.073
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,inverse_row_acc_second,InverseRowAccumulate_213,160,189.756,34.681,224.437,1.433
