Project,energy_nj,energy_per_pixel_nj,energy_per_mac_nj,energy_per_cycle_nj
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,141.005764095,0.14672816242976067,0.03668204060744017,0.0047470294941758685
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,152.95668904500002,0.159164088496358,0.0397910221240895,0.005149363353252088
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,141.60910311,0.14735598658688867,0.03683899664672217,0.004767341203541611
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4,172.29571262000002,0.17928794237252862,0.022410992796566078,0.006716134428159352
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4-exact,208.947305695,0.2174269570187305,0.02717836962734131,0.008144823641342482
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-wstream4,172.58896641500002,0.1795930972060354,0.022449137150754424,0.006727565542020738
Conv2x2-conv-i16-h16-t00-o4-m04-stream00,189.886833745608,0.19759295915255773,0.04939823978813943,0.006848938998939873
Conv2x2-conv-i16-h16-t00-o4-m08-stream00,217.464949882533,0.22629027042927471,0.02828628380365934,0.009185425549420612
Conv2x2-conv-i16-h16-t00-o4-m16-all,154.07080506000003,0.16032341837669098,0.010020213648543186,0.006508567297228794
Conv2x2-conv-i16-h16-t04-o4-m04-stream04,161.59407407601205,0.16815200216026227,0.04203800054006557,0.005828460742146512
Conv2x2-conv-i16-h16-t04-o4-m08-stream04,179.5402653182,0.18682649877023932,0.023353312346279916,0.007583538133820486
Conv2x2-conv-i16-h16-t08-o4-m04-stream08,150.11952367,0.15621178321540063,0.03905294580385016,0.005046204029379139
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,170.81011288,0.1777420529448491,0.022217756618106137,0.006646566515428615
Conv2x2-conv-i16-h16-t08-o4-mxx-stream08-generic,158.04324066499998,0.16445706624869927,,0.005312556410803724
Conv2x2-conv-i16-h16-t16-o4-m04-std,195.614691935,0.20355326944328825,0.05088831736082206,0.008261802252608016
Conv2x2-conv-i16-h16-t16-o4-m08-std,204.415671075,0.21271141631113424,0.02658892703889178,0.008634241650475185
Conv2x2-conv-i16-h20-t08-o4-m08-stream08-exact,188.626555805,0.19628153569719042,0.024535191962148803,0.007334702951549559
Conv2x2-conv-i20-h16-t08-o4-m04-stream08-prefetch4,151.15101341999997,0.15728513363163368,0.03932128340790842,0.005820440271862604
Conv2x2-conv-i20-h16-t08-o4-m08-stream08-prefetch4,170.255741115,0.17716518326222686,0.022145647907778357,0.007767495830786076
