nome,mult,Project,cycles,Total Area um^2,Subtotal,energy_nj,delta_cycles,delta_area_um2,delta_power_mW,delta_energy_nj
Conv2x2,4.0,Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,29704,13688.808,0.474663,141.005764095,,,,
Conv2x2,4.0,Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,29704,13836.025,0.514893,152.95668904500002,0.0,147.21699999999873,0.040230000000000044,11.95092495000003
Conv2x2,4.0,Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,29704,13718.368,0.476694,141.60910311,0.0,-117.65699999999924,-0.03819900000000004,-11.347585935000012
Conv2x2,4.0,Conv2x2-conv-i16-h16-t00-o4-m04-stream00,27725,12127.77,0.684856,189.886833745608,-1979.0,-1590.598,0.208162,48.27773063560798
Conv2x2,4.0,Conv2x2-conv-i16-h16-t04-o4-m04-stream04,27725,10857.984,0.582814,161.59407407601205,0.0,-1269.786,-0.10204199999999997,-28.292759669595938
Conv2x2,4.0,Conv2x2-conv-i16-h16-t08-o4-m04-stream08,29749,10823.183,0.504578,150.11952367,2024.0,-34.800999999999476,-0.07823600000000008,-11.474550406012042
Conv2x2,4.0,Conv2x2-conv-i16-h16-t16-o4-m04-std,23677,12017.925,0.826093,195.614691935,-6072.0,1194.7419999999984,0.321515,45.49516826499999
Conv2x2,4.0,Conv2x2-conv-i20-h16-t08-o4-m04-stream08-prefetch4,25969,11131.884,0.581988,151.15101341999997,2292.0,-886.0409999999993,-0.24410500000000002,-44.463678515000026
Conv2x2,8.0,Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4-exact,25654,20041.711,0.814403,208.947305695,-315.0,8909.827,0.23241500000000004,57.79629227500004
Conv2x2,8.0,Conv2x2-conv-i16-h13-t08-o4-m08-stream08-wstream4,25654,18673.687,0.672691,172.58896641500002,0.0,-1368.0239999999976,-0.14171199999999995,-36.358339279999996
Conv2x2,8.0,Conv2x2-conv-i16-h16-t00-o4-m08-stream00,23675,16855.605,0.918483,217.464949882533,-1979.0,-1818.0820000000022,0.245792,44.87598346753299
Conv2x2,8.0,Conv2x2-conv-i16-h16-t04-o4-m08-stream04,23675,15755.807,0.758305,179.5402653182,0.0,-1099.7979999999989,-0.16017800000000004,-37.924684564333006
Conv2x2,8.0,Conv2x2-conv-i16-h16-t08-o4-m08-stream08,25699,15660.389,0.664592,170.81011288,2024.0,-95.41800000000148,-0.09371300000000005,-8.730152438200008
Conv2x2,8.0,Conv2x2-conv-i16-h16-t16-o4-m08-std,23675,15675.268,0.863333,204.415671075,-2024.0,14.879000000000815,0.19874100000000006,33.605558195000015
Conv2x2,8.0,Conv2x2-conv-i16-h20-t08-o4-m08-stream08-exact,25717,17007.726,0.733399,188.626555805,2042.0,1332.4579999999987,-0.129934,-15.789115269999996
Conv2x2,8.0,Conv2x2-conv-i20-h13-t08-o4-m08-stream08-prefetch4-rowconst4,21892,19311.31,0.776556,170.02305342000002,-3825.0,2303.5840000000026,0.043157,-18.603502384999985
Conv2x2,8.0,Conv2x2-conv-i20-h16-t08-o4-m08-stream08-prefetch4,21919,16073.141,0.776661,170.255741115,27.0,-3238.1690000000017,0.00010500000000002174,0.23268769499998143
Conv2x2,16.0,Conv2x2-conv-i16-h16-t00-o4-m16-all,23672,23129.636,0.650788,154.07080506000003,1753.0,7056.494999999999,-0.125873,-16.18493605499998
Conv2x2,,Conv2x2-conv-i16-h16-t08-o4-mxx-stream08-generic,29749,11012.366,0.531211,158.04324066499998,6077.0,-12117.269999999999,-0.11957700000000004,3.9724356049999585
