Project,nome,mult,side,extra,time_ns,cycles,Cell Count,Cell Area um^2,Net Area um^2,Total Area um^2,Flop Count,memory,register,latch,logic,bbox,clock,pad,pm,Subtotal,size,energy_nj
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,Conv2x2,04,32,,297065.0,29704,7917,9938.376,3750.432,13688.808,983,0.0,0.129226,0.0,0.323481,0.0,0.0219555,0.0,0.0,0.474663,1024,141.005764095
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,Conv2x2,04,32,,297065.0,29704,8142,10036.152,3799.873,13836.025,1003,0.0,0.131746,0.0,0.360984,0.0,0.0221629,0.0,0.0,0.514893,1024,152.95668904500002
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,Conv2x2,04,32,,297065.0,29704,7921,9969.372,3748.996,13718.368,983,0.0,0.130105,0.0,0.324635,0.0,0.0219536,0.0,0.0,0.476694,1024,141.60910311
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4-exact,Conv2x2,08,32,,256565.0,25654,12903,14173.614,5868.097,20041.711,1093,0.0,0.13906,0.0,0.652871,0.0,0.0224722,0.0,0.0,0.814403,1024,208.94730569499998
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-wstream4,Conv2x2,08,32,,256565.0,25654,11778,13250.664,5423.023,18673.687,1061,0.0,0.140324,0.0,0.510091,0.0,0.0222757,0.0,0.0,0.672691,1024,172.58896641500002
Conv2x2-conv-i16-h16-t00-o4-m04-stream00,Conv2x2,04,32,,277265.343,27725,8473,8467.074,3660.696,12127.77,1024,0.0,0.164987,0.0,0.493494,0.0,0.0263749,0.0,0.0,0.684856,1024,189.886833745608
Conv2x2-conv-i16-h16-t00-o4-m08-stream00,Conv2x2,08,32,,236765.351,23675,11818,11700.99,5154.615,16855.605,1023,0.0,0.166916,0.0,0.726525,0.0,0.025042,0.0,0.0,0.918483,1024,217.464949882533
Conv2x2-conv-i16-h16-t00-o4-m16-all,Conv2x2,16,32,,236745.0,23672,15200,16096.374,7033.262,23129.636,1019,0.0,0.113593,0.0,0.516132,0.0,0.0210622,0.0,0.0,0.650788,1024,154.07080506000003
Conv2x2-conv-i16-h16-t04-o4-m04-stream04,Conv2x2,04,32,,277265.25800000003,27725,6515,7875.882,2982.102,10857.984,1024,0.0,0.186121,0.0,0.369382,0.0,0.0273115,0.0,0.0,0.582814,1024,161.59407407601205
Conv2x2-conv-i16-h16-t04-o4-m08-stream04,Conv2x2,08,32,,236765.24,23675,10338,11091.024,4664.783,15755.807,1023,0.0,0.165697,0.0,0.567318,0.0,0.0252902,0.0,0.0,0.758305,1024,179.5402653182
Conv2x2-conv-i16-h16-t08-o4-m04-stream08,Conv2x2,04,32,,297515.0,29749,6407,7872.858,2950.325,10823.183,1027,0.0,0.15677,0.0,0.319999,0.0,0.0278083,0.0,0.0,0.504578,1024,150.11952367
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,Conv2x2,08,32,,257015.0,25699,10254,11018.826,4641.563,15660.389,1025,0.0,0.137067,0.0,0.50143,0.0,0.0260945,0.0,0.0,0.664592,1024,170.81011288
Conv2x2-conv-i16-h16-t08-o4-mxx-stream08-generic,Conv2x2,,32,,297515.0,29749,6483,8034.138,2978.228,11012.366,1107,0.0,0.169577,0.0,0.333295,0.0,0.0283388,0.0,0.0,0.531211,1024,158.04324066499998
Conv2x2-conv-i16-h16-t16-o4-m04-std,Conv2x2,04,32,,236795.0,23677,6613,8806.896,3211.029,12017.925,1264,0.0,0.264068,0.0,0.529235,0.0,0.0327901,0.0,0.0,0.826093,1024,195.61469193499997
Conv2x2-conv-i16-h16-t16-o4-m08-std,Conv2x2,08,32,,236775.0,23675,8874,11220.804,4454.464,15675.268,1263,0.0,0.213996,0.0,0.621175,0.0,0.0281618,0.0,0.0,0.863333,1024,204.41567107499998
Conv2x2-conv-i16-h20-t08-o4-m08-stream08-exact,Conv2x2,08,32,,257195.0,25717,11153,12022.416,4985.31,17007.726,1205,0.0,0.153771,0.0,0.555147,0.0,0.0244812,0.0,0.0,0.733399,1024,188.626555805
Conv2x2-conv-i20-h13-t08-o4-m08-stream08-prefetch4-rowconst4,Conv2x2,08,32,,218945.0,21892,12222,13681.836,5629.474,19311.31,1161,0.0,0.16307,0.0,0.587332,0.0,0.0261538,0.0,0.0,0.776556,1024,170.02305342000002
Conv2x2-conv-i20-h13-t08-o4-m08-stream08-prefetch4-rowconst4-temporal1,Conv2x2,08,32,,218945.0,21892,13193,14521.752,5910.345,20432.097,1401,0.0,0.186494,0.0,0.771145,0.0,0.0272174,0.0,0.0,0.984856,1024,215.62929692
Conv2x2-conv-i20-h16-t08-o4-m04-stream08-prefetch4,Conv2x2,04,32,,259715.0,25969,6570,8118.936,3012.948,11131.884,1107,0.0,0.195571,0.0,0.353768,0.0,0.0326494,0.0,0.0,0.581988,1024,151.15101341999997
Conv2x2-conv-i20-h16-t08-o4-m08-stream08-prefetch4,Conv2x2,08,32,,219215.0,21919,10506,11332.566,4740.575,16073.141,1124,0.0,0.182249,0.0,0.563757,0.0,0.030655,0.0,0.0,0.776661,1024,170.255741115
