Project,area_um2,power_mW,energy_nj,cycles,pareto_optimal
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,13688.808,0.474663,141.005764095,29704,True
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,13836.025,0.514893,152.95668904500002,29704,False
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,13718.368,0.476694,141.60910311,29704,False
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4-exact,20041.711,0.814403,208.947305695,25654,False
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-wstream4,18673.687,0.672691,172.58896641500002,25654,True
Conv2x2-conv-i16-h16-t00-o4-m04-stream00,12127.77,0.684856,189.886833745608,27725,False
Conv2x2-conv-i16-h16-t00-o4-m08-stream00,16855.605,0.918483,217.464949882533,23675,False
Conv2x2-conv-i16-h16-t00-o4-m16-all,23129.636,0.650788,154.07080506000003,23672,True
Conv2x2-conv-i16-h16-t04-o4-m04-stream04,10857.984,0.582814,161.59407407601205,27725,True
Conv2x2-conv-i16-h16-t04-o4-m08-stream04,15755.807,0.758305,179.5402653182,23675,True
Conv2x2-conv-i16-h16-t08-o4-m04-stream08,10823.183,0.504578,150.11952367,29749,True
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,15660.389,0.664592,170.81011288,25699,True
Conv2x2-conv-i16-h16-t08-o4-mxx-stream08-generic,11012.366,0.531211,158.04324066499998,29749,False
Conv2x2-conv-i16-h16-t16-o4-m04-std,12017.925,0.826093,195.614691935,23677,True
Conv2x2-conv-i16-h16-t16-o4-m08-std,15675.268,0.863333,204.415671075,23675,True
Conv2x2-conv-i16-h20-t08-o4-m08-stream08-exact,17007.726,0.733399,188.626555805,25717,False
Conv2x2-conv-i20-h13-t08-o4-m08-stream08-prefetch4-rowconst4,19311.31,0.776556,170.02305342000002,21892,True
Conv2x2-conv-i20-h16-t08-o4-m04-stream08-prefetch4,11131.884,0.581988,151.15101341999997,25969,True
Conv2x2-conv-i20-h16-t08-o4-m08-stream08-prefetch4,16073.141,0.776661,170.255741115,21919,True
