Project,nome,mult,extra,memory,register,latch,logic,bbox,clock,pad,pm,Subtotal
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,Conv2x2,04,,0.0,0.129226,0.0,0.323481,0.0,0.0219555,0.0,0.0,0.474663
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,Conv2x2,04,,0.0,0.131746,0.0,0.360984,0.0,0.0221629,0.0,0.0,0.514893
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,Conv2x2,04,,0.0,0.130105,0.0,0.324635,0.0,0.0219536,0.0,0.0,0.476694
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4,Conv2x2,08,,0.0,0.136424,0.0,0.512855,0.0,0.0222686,0.0,0.0,0.671548
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4-exact,Conv2x2,08,,0.0,0.13906,0.0,0.652871,0.0,0.0224722,0.0,0.0,0.814403
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-wstream4,Conv2x2,08,,0.0,0.140324,0.0,0.510091,0.0,0.0222757,0.0,0.0,0.672691
Conv2x2-conv-i16-h16-t00-o4-m04-stream00,Conv2x2,04,,0.0,0.164987,0.0,0.493494,0.0,0.0263749,0.0,0.0,0.684856
Conv2x2-conv-i16-h16-t00-o4-m08-stream00,Conv2x2,08,,0.0,0.166916,0.0,0.726525,0.0,0.025042,0.0,0.0,0.918483
Conv2x2-conv-i16-h16-t00-o4-m16-all,Conv2x2,16,,0.0,0.113593,0.0,0.516132,0.0,0.0210622,0.0,0.0,0.650788
Conv2x2-conv-i16-h16-t04-o4-m04-stream04,Conv2x2,04,,0.0,0.186121,0.0,0.369382,0.0,0.0273115,0.0,0.0,0.582814
Conv2x2-conv-i16-h16-t04-o4-m08-stream04,Conv2x2,08,,0.0,0.165697,0.0,0.567318,0.0,0.0252902,0.0,0.0,0.758305
Conv2x2-conv-i16-h16-t08-o4-m04-stream08,Conv2x2,04,,0.0,0.15677,0.0,0.319999,0.0,0.0278083,0.0,0.0,0.504578
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,Conv2x2,08,,0.0,0.137067,0.0,0.50143,0.0,0.0260945,0.0,0.0,0.664592
Conv2x2-conv-i16-h16-t08-o4-mxx-stream08-generic,Conv2x2,,,0.0,0.169577,0.0,0.333295,0.0,0.0283388,0.0,0.0,0.531211
Conv2x2-conv-i16-h16-t16-o4-m04-std,Conv2x2,04,,0.0,0.264068,0.0,0.529235,0.0,0.0327901,0.0,0.0,0.826093
Conv2x2-conv-i16-h16-t16-o4-m08-std,Conv2x2,08,,0.0,0.213996,0.0,0.621175,0.0,0.0281618,0.0,0.0,0.863333
Conv2x2-conv-i16-h20-t08-o4-m08-stream08-exact,Conv2x2,08,,0.0,0.153771,0.0,0.555147,0.0,0.0244812,0.0,0.0,0.733399
Conv2x2-conv-i20-h16-t08-o4-m04-stream08-prefetch4,Conv2x2,04,,0.0,0.195571,0.0,0.353768,0.0,0.0326494,0.0,0.0,0.581988
Conv2x2-conv-i20-h16-t08-o4-m08-stream08-prefetch4,Conv2x2,08,,0.0,0.182249,0.0,0.563757,0.0,0.030655,0.0,0.0,0.776661
