Project,architecture_mode,kernel_size,input_words,h_register_words,h_register_signals,t_register_words,t_register_signals,mac_lanes,output_words,total_estimated_words,source
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4-exact,stream08,2,16,8,r_input_weight[8],8,r_transform_row[4]; r_inverse_row[4],8,4,36,rtl_r_declarations
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-wstream4,stream08,2,16,8,r_input_weight[8],8,r_transform_row[4]; r_inverse_row[4],8,4,36,rtl_r_declarations
Conv2x2-conv-i16-h16-t00-o4-m08-stream00,stream00,2,16,16,r_input_weight[16],0,,8,4,36,rtl_r_declarations
Conv2x2-conv-i16-h16-t00-o4-m16-all,all,2,16,16,r_input_weight[16],0,,16,4,36,rtl_r_declarations
Conv2x2-conv-i16-h16-t04-o4-m08-stream04,stream04,2,16,16,r_input_weight[16],12,r_inverse_row[4]; r_transform_row[8],8,4,48,rtl_r_declarations
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,stream08,2,16,16,r_input_weight[16],8,r_transform_row[4]; r_inverse_row[4],8,4,44,rtl_r_declarations
Conv2x2-conv-i16-h16-t16-o4-m08-std,standard,2,16,16,r_input_weight[16],16,r_conv_temp[16],8,4,52,rtl_r_declarations
Conv2x2-conv-i16-h20-t08-o4-m08-stream08-exact,stream08,2,16,8,r_input_weight[8],8,r_transform_row[4]; r_inverse_row[4],8,4,36,rtl_r_declarations
Conv2x2-conv-i20-h13-t08-o4-m08-stream08-prefetch4-rowconst4,stream08,2,16,8,r_input_weight[8],8,r_transform_row[4]; r_inverse_row[4],8,4,36,rtl_r_declarations
Conv2x2-conv-i20-h13-t08-o4-m08-stream08-prefetch4-rowconst4-shared,stream08,2,16,8,r_input_weight[8],8,r_transform_row[4]; r_inverse_row[4],8,4,36,rtl_r_declarations
Conv2x2-conv-i20-h16-t08-o4-m08-stream08-prefetch4,stream08,2,16,16,r_input_weight[16],8,r_transform_row[4]; r_inverse_row[4],8,4,44,rtl_r_declarations
