Project,nome,mult,side,kernel_size,output_side,output_pixels,cycles,time_ns,pixels_per_cycle,macs_per_cycle
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4-exact,Conv2x2,8,32,2,31,961,25654,256565.0,0.03746004521712014,0.2996803617369611
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-wstream4,Conv2x2,8,32,2,31,961,25654,256565.0,0.03746004521712014,0.2996803617369611
Conv2x2-conv-i16-h16-t00-o4-m08-stream00,Conv2x2,8,32,2,31,961,23675,236765.351,0.040591341077085535,0.3247307286166843
Conv2x2-conv-i16-h16-t00-o4-m16-all,Conv2x2,16,32,2,31,961,23672,236745.0,0.04059648529908753,0.6495437647854004
Conv2x2-conv-i16-h16-t04-o4-m08-stream04,Conv2x2,8,32,2,31,961,23675,236765.24,0.040591341077085535,0.3247307286166843
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,Conv2x2,8,32,2,31,961,25699,257015.0,0.03739445114595899,0.2991556091676719
Conv2x2-conv-i16-h16-t16-o4-m08-std,Conv2x2,8,32,2,31,961,23675,236775.0,0.040591341077085535,0.3247307286166843
Conv2x2-conv-i16-h20-t08-o4-m08-stream08-exact,Conv2x2,8,32,2,31,961,25717,257195.0,0.03736827779289964,0.2989462223431971
Conv2x2-conv-i20-h13-t08-o4-m08-stream08-prefetch4-rowconst4,Conv2x2,8,32,2,31,961,21892,218945.0,0.04389731408733784,0.3511785126987027
Conv2x2-conv-i20-h13-t08-o4-m08-stream08-prefetch4-rowconst4-shared,Conv2x2,8,32,2,31,961,21892,218945.0,0.04389731408733784,0.3511785126987027
Conv2x2-conv-i20-h16-t08-o4-m08-stream08-prefetch4,Conv2x2,8,32,2,31,961,21919,219215.0,0.04384324102376933,0.35074592819015465
