project,nome,mult,side,extra,time/ns,cycles
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,Conv2x2,04,32,,297065.0,29704
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,Conv2x2,04,32,,297065.0,29704
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,Conv2x2,04,32,,297065.0,29704
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-rowconst4-exact,Conv2x2,08,32,,256565.0,25654
Conv2x2-conv-i16-h13-t08-o4-m08-stream08-wstream4,Conv2x2,08,32,,256565.0,25654
Conv2x2-conv-i16-h16-t00-o4-m04-stream00,Conv2x2,04,32,,277265.343,27725
Conv2x2-conv-i16-h16-t00-o4-m08-stream00,Conv2x2,08,32,,236765.351,23675
Conv2x2-conv-i16-h16-t00-o4-m16-all,Conv2x2,16,32,,236745.0,23672
Conv2x2-conv-i16-h16-t04-o4-m04-stream04,Conv2x2,04,32,,277265.25800000003,27725
Conv2x2-conv-i16-h16-t04-o4-m08-stream04,Conv2x2,08,32,,236765.24,23675
Conv2x2-conv-i16-h16-t08-o4-m04-stream08,Conv2x2,04,32,,297515.0,29749
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,Conv2x2,08,32,,257015.0,25699
Conv2x2-conv-i16-h16-t08-o4-mxx-stream08-generic,Conv2x2,,32,,297515.0,29749
Conv2x2-conv-i16-h16-t16-o4-m04-std,Conv2x2,04,32,,236795.0,23677
Conv2x2-conv-i16-h16-t16-o4-m08-std,Conv2x2,08,32,,236775.0,23675
Conv2x2-conv-i16-h20-t08-o4-m08-stream08-exact,Conv2x2,08,32,,257195.0,25717
Conv2x2-conv-i20-h13-t08-o4-m08-stream08-prefetch4-rowconst4,Conv2x2,08,32,,218945.0,21892
Conv2x2-conv-i20-h13-t08-o4-m08-stream08-prefetch4-rowconst4-temporal1,Conv2x2,08,32,,218945.0,21892
Conv2x2-conv-i20-h16-t08-o4-m04-stream08-prefetch4,Conv2x2,04,32,,259715.0,25969
Conv2x2-conv-i20-h16-t08-o4-m08-stream08-prefetch4,Conv2x2,08,32,,219215.0,21919
