Project,view,data_path_ps,required_time_ps,slack_ps,reported_margin_ps
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4,analysis_view_0p81v_125c_capwst_slowest,1968.0,1969.0,1.0,1.0
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-rowconst4-exact,analysis_view_0p81v_125c_capwst_slowest,1967.0,1968.0,0.0,0.0
Conv2x2-conv-i16-h13-t08-o4-m04-stream08-wstream4,analysis_view_0p81v_125c_capwst_slowest,1968.0,1969.0,1.0,1.0
Conv2x2-conv-i16-h16-t00-o4-m04-stream00,analysis_view_0p81v_125c_capwst_slowest,1996.0,1996.0,0.0,0.0
Conv2x2-conv-i16-h16-t00-o4-m08-stream00,analysis_view_0p81v_125c_capwst_slowest,1976.0,1976.0,0.0,0.0
Conv2x2-conv-i16-h16-t00-o4-m16-all,analysis_view_0p81v_125c_capwst_slowest,1975.0,1975.0,0.0,0.0
Conv2x2-conv-i16-h16-t04-o4-m04-stream04,analysis_view_0p81v_125c_capwst_slowest,999.0,1000.0,1.0,1.0
Conv2x2-conv-i16-h16-t08-o4-m04-stream08,analysis_view_0p81v_125c_capwst_slowest,1966.0,1971.0,5.0,5.0
Conv2x2-conv-i16-h16-t08-o4-m08-stream08,analysis_view_0p81v_125c_capwst_slowest,1971.0,1971.0,0.0,0.0
Conv2x2-conv-i16-h16-t08-o4-mxx-stream08-generic,analysis_view_0p81v_125c_capwst_slowest,1970.0,1972.0,2.0,2.0
Conv2x2-conv-i16-h16-t16-o4-m04-std,analysis_view_0p81v_125c_capwst_slowest,994.0,1000.0,6.0,6.0
Conv2x2-conv-i20-h16-t08-o4-m04-stream08-prefetch4,analysis_view_0p81v_125c_capwst_slowest,1968.0,1971.0,3.0,3.0
