Project,category,power_mW,percent_of_subtotal
Conv3x3stream-if-ifn9-06mac,memory,0.0,0.0
Conv3x3stream-if-ifn9-06mac,register,0.309852,32.64262951355053
Conv3x3stream-if-ifn9-06mac,latch,0.0,0.0
Conv3x3stream-if-ifn9-06mac,logic,0.589748,62.12942137006505
Conv3x3stream-if-ifn9-06mac,bbox,0.0,0.0
Conv3x3stream-if-ifn9-06mac,clock,0.0496245,5.227896441834129
Conv3x3stream-if-ifn9-06mac,pad,0.0,0.0
Conv3x3stream-if-ifn9-06mac,pm,0.0,0.0
Conv3x3stream-if-ifn9-12mac,memory,0.0,0.0
Conv3x3stream-if-ifn9-12mac,register,0.267771,29.633371808506514
Conv3x3stream-if-ifn9-12mac,latch,0.0,0.0
Conv3x3stream-if-ifn9-12mac,logic,0.590451,65.34334942060373
Conv3x3stream-if-ifn9-12mac,bbox,0.0,0.0
Conv3x3stream-if-ifn9-12mac,clock,0.0453916,5.023345170996876
Conv3x3stream-if-ifn9-12mac,pad,0.0,0.0
Conv3x3stream-if-ifn9-12mac,pm,0.0,0.0
Conv3x3stream-if-ifn9-18mac,memory,0.0,0.0
Conv3x3stream-if-ifn9-18mac,register,0.260082,26.550087281413653
Conv3x3stream-if-ifn9-18mac,latch,0.0,0.0
Conv3x3stream-if-ifn9-18mac,logic,0.675493,68.9567063771578
Conv3x3stream-if-ifn9-18mac,bbox,0.0,0.0
Conv3x3stream-if-ifn9-18mac,clock,0.0440139,4.493094049551344
Conv3x3stream-if-ifn9-18mac,pad,0.0,0.0
Conv3x3stream-if-ifn9-18mac,pm,0.0,0.0
