Project,instance,module,cell_count,cell_area_um2,net_area_um2,total_area_um2,area_percent
Conv3x3stream-tc-tcn9-05mac,Conv,Conv,11782,15624.882,5502.475,21127.357,100.0
Conv3x3stream-tc-tcn9-05mac,inverse_row,InverseRow,175,332.892,66.342,399.234,1.89
Conv3x3stream-tc-tcn9-05mac,inverse_row_acc,InverseRowAccumulate,944,807.156,345.965,1153.121,5.458
Conv3x3stream-tc-tcn9-05mac,inverse_row_capture,InverseRowAccumulate_2,60,125.874,14.378,140.252,0.664
Conv3x3stream-tc-tcn9-05mac,inverse_row_current,InverseRow_373,175,332.892,66.342,399.234,1.89
Conv3x3stream-tc-tcn9-05mac,multip0,Multip,597,625.842,245.77,871.612,4.126
Conv3x3stream-tc-tcn9-05mac,multip1,Multip_377,597,625.968,245.77,871.738,4.126
Conv3x3stream-tc-tcn9-05mac,multip2,Multip_376,597,625.968,245.77,871.738,4.126
Conv3x3stream-tc-tcn9-05mac,multip3,Multip_375,598,626.598,246.145,872.743,4.131
Conv3x3stream-tc-tcn9-05mac,multip4,Multip_374,597,625.968,245.893,871.861,4.127
Conv3x3stream-tc-tcn9-05mac,trf,Transform,3249,5038.992,1390.852,6429.844,30.434
Conv3x3stream-tc-tcn9-05mac,matrix_c0,MatrixC0,1614,2507.022,557.358,3064.38,14.504
Conv3x3stream-tc-tcn9-05mac,csa_n0,CSA_2_69_354,18,37.674,4.288,41.962,0.199
Conv3x3stream-tc-tcn9-05mac,csa_n1,CSA_2_330,18,37.674,4.288,41.962,0.199
Conv3x3stream-tc-tcn9-05mac,csa_n2,CSA_2_64_345,19,37.926,4.411,42.337,0.2
Conv3x3stream-tc-tcn9-05mac,csa_n4,CSA_2_69_355,18,37.674,4.288,41.962,0.199
Conv3x3stream-tc-tcn9-05mac,csa_n5,CSA_2_69_356,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_n6,CSA_2_329,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_n7,CSA_2_64_346,20,40.068,4.663,44.731,0.212
Conv3x3stream-tc-tcn9-05mac,csa_n9,CSA_2_69_357,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_n10,CSA_2_69_358,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_n11,CSA_2_328,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_n12,CSA_2_64_347,20,40.068,4.663,44.731,0.212
Conv3x3stream-tc-tcn9-05mac,csa_n14,CSA_2_69_359,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_n15,CSA_2_69_360,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_n16,CSA_2_327,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_n17,CSA_2_64_348,20,40.068,4.663,44.731,0.212
Conv3x3stream-tc-tcn9-05mac,csa_n19,CSA_2_69_361,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_n20,CSA_2_69_362,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_n21,CSA_2_326,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_n22,CSA_2_64_349,20,40.068,4.663,44.731,0.212
Conv3x3stream-tc-tcn9-05mac,csa_n24,CSA_2_69_363,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_p0,CSA_2,18,37.674,4.288,41.962,0.199
Conv3x3stream-tc-tcn9-05mac,csa_p2,CSA_2_344,18,37.674,4.288,41.962,0.199
Conv3x3stream-tc-tcn9-05mac,csa_p4,CSA_2_343,18,37.674,4.288,41.962,0.199
Conv3x3stream-tc-tcn9-05mac,csa_p5,CSA_2_342,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_p7,CSA_2_341,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_p9,CSA_2_340,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_p10,CSA_2_339,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_p12,CSA_2_338,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_p14,CSA_2_337,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_p15,CSA_2_336,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_p17,CSA_2_335,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_p19,CSA_2_334,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_p20,CSA_2_333,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_p22,CSA_2_332,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_p24,CSA_2_331,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,matrix_c1,MatrixC1,1635,2531.97,566.141,3098.111,14.664
Conv3x3stream-tc-tcn9-05mac,csa_n0,CSA_2_69_364,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_n1,CSA_2_69_365,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_n2,CSA_2_69_366,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_n3,CSA_2_69_367,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_n4,CSA_2_69_368,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_n5,CSA_2_310,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_n6,CSA_2_309,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_n7,CSA_2_308,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_n8,CSA_2_307,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_n9,CSA_2_306,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_n10,CSA_2_64_350,20,40.068,4.663,44.731,0.212
Conv3x3stream-tc-tcn9-05mac,csa_n11,CSA_2_64_351,20,40.068,4.663,44.731,0.212
Conv3x3stream-tc-tcn9-05mac,csa_n12,CSA_2_64_352,20,40.068,4.663,44.731,0.212
Conv3x3stream-tc-tcn9-05mac,csa_n13,CSA_2_64_353,20,40.068,4.663,44.731,0.212
Conv3x3stream-tc-tcn9-05mac,csa_n14,CSA_2_64,20,40.068,4.663,44.731,0.212
Conv3x3stream-tc-tcn9-05mac,csa_n20,CSA_2_69_369,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_n21,CSA_2_69_370,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_n22,CSA_2_69_371,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_n23,CSA_2_69_372,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_n24,CSA_2_69,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_p0,CSA_2_325,19,39.816,4.541,44.357,0.21
Conv3x3stream-tc-tcn9-05mac,csa_p1,CSA_2_324,19,39.816,4.541,44.357,0.21
