Project,instance,module,cell_count,cell_area_um2,net_area_um2,total_area_um2,area_percent
Conv4x4stream28-tcn16-06mac,Conv,Conv,16564,25224.318,7987.41,33211.728,100.0
Conv4x4stream28-tcn16-06mac,MULTIP_BLOCK[0].multip,Multip,596,625.842,245.641,871.483,2.624
Conv4x4stream28-tcn16-06mac,MULTIP_BLOCK[1].multip,Multip_472,600,627.606,247.387,874.993,2.635
Conv4x4stream28-tcn16-06mac,MULTIP_BLOCK[2].multip,Multip_471,598,626.724,246.145,872.869,2.628
Conv4x4stream28-tcn16-06mac,MULTIP_BLOCK[3].multip,Multip_470,596,625.968,245.763,871.731,2.625
Conv4x4stream28-tcn16-06mac,MULTIP_BLOCK[4].multip,Multip_469,596,625.842,245.641,871.483,2.624
Conv4x4stream28-tcn16-06mac,MULTIP_BLOCK[5].multip,Multip_468,597,626.598,245.77,872.368,2.627
Conv4x4stream28-tcn16-06mac,inverse_row,InverseRow,300,561.456,121.352,682.808,2.056
Conv4x4stream28-tcn16-06mac,inverse_row_acc,InverseRowAccumulate,1649,1632.96,632.632,2265.592,6.822
Conv4x4stream28-tcn16-06mac,inverse_row_capture,InverseRowAccumulate_2,80,167.832,19.171,187.003,0.563
Conv4x4stream28-tcn16-06mac,inverse_row_current,InverseRow_467,315,564.732,124.385,689.117,2.075
Conv4x4stream28-tcn16-06mac,trf,Transform,4855,8535.492,2344.936,10880.428,32.761
Conv4x4stream28-tcn16-06mac,matrix_c0,MatrixC0,2406,4207.14,993.674,5200.814,15.66
Conv4x4stream28-tcn16-06mac,matrix_c1,MatrixC1,2449,4328.352,1027.734,5356.086,16.127
